nu=10^-5, nu=10^-4, nu=10^-3, nu=10^-2, nu=10^-1m nu=1, nu=10, nu=10^2, nu=10^3
0.05640,0.05414,0.04948,0.01576,0.00133,0.00114,0.00105,0.00109,0.00124
0.02272,0.02046,0.01891,0.00601,0.00018,0.00007,0.00006,0.00005,0.00006
0.00905,0.00898,0.00766,0.00226,0.00001,0.00001,0.00000,0.00000,0.00000
0.00230,0.00237,0.00217,0.00060,0.00000,0.00000,0.00000,0.00000,0.00000
0.00032,0.00031,0.00032,0.00003,0.00000,0.00000,0.00000,0.00000,0.00000
