nu=10^-5, nu=10^-4, nu=10^-3, nu=10^-2, nu=10^-1m nu=1, nu=10, nu=10^2, nu=10^3
0.48387,0.48332,0.49850,0.56518,0.39285,0.21672,0.19670,0.19373,0.19428
0.45093,0.45459,0.47082,0.51356,0.30353,0.11149,0.08952,0.08835,0.08942
0.44795,0.44634,0.45940,0.50100,0.26847,0.07895,0.05932,0.05787,0.05745
