nu=10^-5, nu=10^-4, nu=10^-3, nu=10^-2, nu=10^-1m nu=1, nu=10, nu=10^2, nu=10^3
0.06871,0.06942,0.06116,0.02554,0.01049,0.01843,0.01964,0.01946,0.01962
0.00717,0.00712,0.00659,0.00274,0.00136,0.00197,0.00229,0.00216,0.00229
0.00047,0.00043,0.00050,0.00015,0.00007,0.00012,0.00013,0.00015,0.00023
