trial, S1, S2, R, T, xi
1,103,0,19,54,1 
2,6,0,53,105,1 
3,63,0,9,46,-1 
4,0,10,42,97,-1 
5,95,0,14,36,-1 
6,0,0,184,115,1 
7,0,89,35,51,1 
8,0,0,140,120,1 
9,0,34,28,59,-1 
10,0,0,154,120,1 
11,0,0,106,121,1 
12,0,0,106,109,-1 
13,28,89,23,41,1 
14,0,52,42,67,1 
15,0,0,131,110,-1 
16,34,0,10,56,-1 
17,0,0,78,123,-1 
18,32,0,19,81,-1 
19,0,48,27,47,1 
20,21,0,13,68,-1 
21,0,0,142,135,1 
22,0,0,132,138,-1 
23,0,0,185,126,1 
24,0,0,107,120,1 
25,0,41,31,72,1 
26,0,16,16,90,-1 
27,73,0,44,63,1 
28,0,0,110,149,-1 
29,0,0,200,127,1 
30,0,34,39,79,1 
31,0,32,14,69,-1 
32,0,0,79,132,-1 
33,0,0,125,106,1 
34,9,31,6,62,-1 
35,0,0,149,123,-1 
36,0,0,179,130,1 
37,0,0,195,112,1 
38,0,40,12,51,-1 
39,10,6,27,87,-1 
40,69,0,7,58,-1 
41,0,0,160,113,1 
42,0,7,27,106,-1 
43,0,0,204,126,1 
44,57,0,31,63,1 
45,0,0,157,127,1 
46,0,0,175,119,-1 
47,0,0,129,109,-1 
48,0,0,45,117,-1 
49,0,44,11,56,-1 
50,10,0,28,115,-1 
51,0,60,37,62,1 
52,0,110,22,29,1 
53,0,0,38,124,-1 
54,0,0,86,132,-1 
55,0,0,113,113,1 
56,0,9,18,86,-1 
57,0,80,19,60,1 
58,0,0,83,110,1 
59,21,0,46,102,1 
60,0,0,142,125,1 
61,0,0,165,118,1 
62,7,0,25,93,-1 
63,0,0,108,125,1 
64,0,0,193,110,1 
65,0,0,83,139,1 
66,39,0,26,78,1 
67,0,0,162,116,1 
68,0,94,25,65,1 
69,47,0,42,47,1 
70,0,5,25,96,-1 
71,0,0,52,136,-1 
72,0,0,41,132,-1 
73,0,28,19,77,-1 
74,135,0,17,29,1 
75,0,0,189,134,1 
76,22,0,16,78,1 
77,22,0,64,102,1 
78,0,51,3,69,-1 
79,7,0,22,112,-1 
80,39,0,74,90,1 
81,0,21,27,76,1 
82,0,0,53,121,-1 
83,0,0,63,131,-1 
84,0,67,23,38,1 
85,0,0,177,116,1 
86,0,39,73,97,1 
87,0,0,151,122,1 
88,0,0,179,132,-1 
89,0,73,50,94,1 
90,0,18,17,75,-1 
91,27,0,10,72,-1 
92,0,37,99,104,1 
93,0,0,62,140,-1 
94,0,0,70,131,1 
95,0,79,6,30,-1 
96,0,0,88,133,1 
97,0,84,27,43,1 
98,0,69,3,35,-1 
99,0,15,79,109,1 
100,11,0,73,94,1 
101,0,0,157,143,-1 
102,0,1,82,95,1 
103,0,0,192,129,1 
104,29,0,14,72,-1 
105,0,0,167,117,1 
106,9,0,22,89,-1 
107,0,81,40,66,1 
108,0,0,152,121,-1 
109,104,0,18,39,1 
110,43,0,57,86,1 
111,0,29,18,95,-1 
112,31,0,12,74,-1 
113,66,0,7,44,-1 
114,0,0,138,124,1 
115,0,0,178,117,1 
116,0,0,73,112,1 
117,0,69,43,65,1 
118,46,0,11,47,-1 
119,0,82,15,62,-1 
120,0,110,19,34,1 
121,0,0,184,124,1 
122,0,68,48,89,-1 
123,0,31,14,58,-1 
124,34,0,20,61,1 
125,0,22,73,95,1 
126,63,0,8,49,-1 
127,0,0,166,107,1 
128,26,0,8,59,-1 
129,0,12,41,114,-1 
130,22,0,16,90,-1 
131,17,0,11,81,-1 
132,0,0,94,122,1 
133,0,0,90,137,1 
134,5,0,22,98,-1 
135,4,26,6,47,1 
136,0,20,26,84,-1 
137,0,0,46,139,1 
138,0,0,141,121,1 
139,0,0,74,140,-1 
140,8,0,17,85,-1 
141,28,0,36,63,1 
142,0,94,20,42,-1 
143,0,11,35,106,-1 
144,0,3,21,111,-1 
145,0,0,187,128,1 
146,0,0,205,153,-1 
147,21,0,12,88,-1 
148,0,100,43,81,-1 
149,0,0,114,119,1 
150,0,0,134,129,-1 
151,0,106,28,49,1 
152,0,0,199,127,1 
153,16,0,94,123,1 
154,0,3,35,111,-1 
155,55,0,57,89,1 
156,26,0,46,92,-1 
157,83,0,44,77,1 
158,0,0,97,106,1 
159,0,0,109,124,-1 
160,23,0,20,67,-1 
161,0,0,95,122,1 
162,0,39,14,55,-1 
163,45,0,4,55,-1 
164,0,0,97,134,-1 
165,0,41,12,61,-1 
166,0,21,8,67,-1 
167,10,0,30,80,-1 
168,0,70,22,53,1 
169,0,0,57,127,-1 
170,0,0,124,119,-1 
171,0,0,105,101,-1 
172,10,0,23,72,-1 
173,0,0,141,127,-1 
174,24,0,65,86,1 
175,0,9,32,118,-1 
176,0,0,49,126,-1 
177,49,0,11,58,-1 
178,33,0,54,95,1 
179,0,0,137,127,-1 
180,8,0,20,90,-1 
181,8,0,60,135,1 
182,0,36,16,52,-1 
183,0,19,16,83,-1 
184,0,0,48,120,-1 
185,0,0,37,123,-1 
186,15,0,15,73,-1 
187,0,86,29,58,1 
188,0,0,81,122,-1 
189,0,0,97,107,-1 
190,60,0,27,80,1 
191,0,0,84,138,-1 
192,23,0,21,68,-1 
193,0,0,181,132,1 
194,77,0,39,59,1 
195,0,71,27,63,1 
196,0,43,25,63,1 
197,32,0,48,69,1 
198,0,0,97,119,-1 
199,0,23,52,103,-1 
200,52,0,50,84,1 
201,0,0,120,138,1 
202,0,0,176,106,1 
203,0,63,15,57,-1 
204,0,31,7,55,-1 
205,0,0,211,128,1 
206,57,0,22,55,1 
207,52,8,32,70,-1 
208,106,0,31,42,1 
209,0,7,77,96,1 
210,0,60,34,67,1 
211,0,0,172,137,1 
212,0,18,9,90,-1 
213,55,0,36,48,-1 
214,0,0,171,125,-1 
215,14,8,21,104,-1 
216,0,0,98,128,1 
217,53,0,47,104,1 
218,0,0,158,139,1 
219,0,0,169,124,1 
220,0,104,20,46,1 
221,0,13,21,69,-1 
222,0,0,129,116,1 
223,19,0,39,93,-1 
224,0,14,17,77,-1 
225,0,0,157,102,1 
226,6,0,58,102,1 
227,0,0,61,117,-1 
228,47,0,77,98,1 
229,0,35,17,74,-1 
230,0,0,119,106,1 
231,0,0,77,120,-1 
232,0,0,153,123,1 
233,0,0,104,111,1 
234,0,0,161,131,1 
235,0,0,123,126,-1 
236,16,3,89,101,1 
237,0,0,126,125,1 
238,0,0,208,121,1 
239,0,14,15,67,-1 
240,0,0,87,133,1 
241,0,9,29,100,-1 
242,0,104,11,41,-1 
243,5,0,30,95,1 
244,26,0,20,63,-1 
245,0,0,171,121,1 
246,0,60,39,80,1 
247,59,14,29,42,1 
248,0,31,69,121,1 
249,23,0,20,90,-1 
250,23,0,21,94,-1 
251,58,0,9,63,-1 
252,56,0,9,48,-1 
253,0,0,75,106,-1 
254,0,0,37,118,-1 
255,0,0,87,116,1 
256,0,81,28,73,1 
257,66,0,43,81,1 
258,0,51,63,86,1 
259,0,31,83,110,1 
260,16,31,73,83,1 
261,0,65,32,61,1 
262,81,0,5,45,-1 
263,0,2,45,108,-1 
264,0,0,102,109,1 
265,3,0,24,90,-1 
266,47,0,6,69,-1 
267,0,0,79,122,-1 
268,83,0,22,49,1 
