trial, S1, S2, R, T, xi
1,0,0,43,124,-1 
2,0,34,60,42,1 
3,0,110,14,23,1 
4,0,0,40,133,-1 
5,0,0,45,129,-1 
6,0,0,55,127,-1 
7,83,0,33,16,1 
8,70,0,31,20,1 
9,0,0,43,139,-1 
10,32,0,50,47,1 
11,52,0,41,28,1 
12,0,0,37,119,-1 
13,0,72,31,30,1 
14,0,77,39,15,1 
15,0,56,42,33,1 
16,0,0,56,133,-1 
17,0,0,51,119,-1 
18,0,0,35,117,-1 
19,73,0,41,25,1 
20,0,49,58,30,1 
21,0,0,60,129,-1 
22,44,0,43,38,1 
23,0,0,57,109,-1 
24,90,0,25,19,1 
25,0,0,55,135,-1 
26,38,0,35,41,1 
27,0,0,51,118,-1 
28,0,0,56,133,-1 
29,0,107,20,12,1 
30,0,0,51,125,-1 
31,0,90,23,22,1 
32,0,79,41,38,1 
33,0,0,43,123,-1 
34,0,0,43,109,-1 
35,0,97,37,23,1 
36,69,0,30,23,1 
37,88,0,24,12,1 
38,0,0,171,120,1 
39,0,0,56,126,-1 
40,0,0,215,136,1 
41,0,0,58,133,-1 
42,0,0,59,139,-1 
43,0,0,48,122,-1 
44,0,87,17,19,1 
45,0,0,38,134,-1 
46,25,0,123,81,1 
47,0,57,48,21,1 
48,57,0,41,28,1 
49,0,0,44,128,-1 
50,62,0,38,23,1 
51,59,0,33,19,1 
52,0,0,49,99,-1 
53,76,23,22,13,1 
54,0,0,71,132,-1 
55,50,0,45,26,1 
56,0,0,41,134,-1 
57,0,89,22,18,1 
58,0,42,59,33,1 
59,0,0,52,126,-1 
60,64,25,30,14,1 
61,0,0,42,127,-1 
62,0,0,58,120,-1 
63,0,0,55,126,-1 
64,1,75,19,14,1 
65,8,61,42,24,1 
66,0,62,50,32,1 
67,71,0,30,19,1 
68,0,74,20,14,1 
69,0,0,58,112,-1 
70,0,28,81,54,1 
71,0,80,28,18,1 
72,0,0,60,133,-1 
73,0,62,37,18,1 
74,0,0,49,123,-1 
75,19,0,147,76,1 
76,0,0,194,125,1 
77,0,0,54,129,-1 
78,96,0,11,18,1 
79,0,0,36,109,-1 
80,0,0,39,150,-1 
81,0,0,57,102,-1 
82,0,0,44,131,-1 
83,0,0,43,120,-1 
84,0,0,52,117,-1 
85,0,0,43,137,-1 
86,44,0,33,33,1 
87,0,86,21,23,1 
88,0,0,214,131,1 
89,0,0,47,95,-1 
90,0,72,31,16,1 
91,0,0,44,119,-1 
92,0,60,30,19,1 
