nu=10^-5, nu=10^-4, nu=10^-3, nu=10^-2, nu=10^-1m nu=1, nu=10, nu=10^2, nu=10^3
0.02151,0.02091,0.01732,0.00392,0.00000,0.00000,0.00000,0.00000,0.00000
0.00192,0.00169,0.00155,0.00026,0.00000,0.00000,0.00000,0.00000,0.00000
0.00010,0.00003,0.00006,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
