nu=10^-5, nu=10^-4, nu=10^-3, nu=10^-2, nu=10^-1m nu=1, nu=10, nu=10^2, nu=10^3
0.00343,0.00327,0.00260,0.00067,0.00000,0.00000,0.00000,0.00000,0.00000
0.00015,0.00018,0.00016,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000
0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
