nu=10^-5, nu=10^-4, nu=10^-3, nu=10^-2, nu=10^-1m nu=1, nu=10, nu=10^2, nu=10^3
0.32320,0.31532,0.27371,0.08712,0.03323,0.17867,0.20809,0.21560,0.21602
0.09750,0.09444,0.08136,0.02409,0.00661,0.02195,0.02597,0.02568,0.02614
0.01886,0.01837,0.01545,0.00462,0.00091,0.00175,0.00197,0.00215,0.00227
