nu=10^-5, nu=10^-4, nu=10^-3, nu=10^-2, nu=10^-1m nu=1, nu=10, nu=10^2, nu=10^3
0.12684,0.12551,0.11116,0.03901,0.01756,0.05290,0.06404,0.06375,0.06441
0.01806,0.01770,0.01617,0.00656,0.00385,0.00949,0.01102,0.01108,0.01138
0.00181,0.00159,0.00165,0.00052,0.00043,0.00100,0.00143,0.00121,0.00117
0.00026,0.00016,0.00020,0.00008,0.00007,0.00008,0.00015,0.00008,0.00011
0.00006,0.00003,0.00004,0.00001,0.00000,0.00000,0.00002,0.00002,0.00002
