trial, S1, S2, R, T, xi
1,0,0,45,116,-1 
2,0,0,45,140,-1 
3,0,0,52,110,-1 
4,0,0,203,88,1 
5,31,0,52,31,1 
6,0,65,37,21,1 
7,88,0,25,12,1 
8,0,42,56,39,1 
9,0,0,55,106,-1 
10,0,0,54,115,-1 
11,68,0,39,20,1 
12,0,0,52,126,-1 
13,112,0,19,13,1 
14,0,0,58,102,-1 
15,0,0,60,133,-1 
16,0,0,63,131,-1 
17,73,0,38,15,1 
18,53,0,44,25,1 
19,0,0,187,145,1 
20,0,53,36,22,1 
21,0,0,61,134,-1 
22,0,0,43,133,-1 
23,0,0,45,127,-1 
24,0,0,64,136,-1 
25,69,0,34,22,1 
26,0,0,48,127,-1 
27,0,0,208,134,1 
28,0,91,35,17,1 
29,0,0,42,123,-1 
30,0,0,205,96,1 
31,0,0,48,132,-1 
32,0,0,63,113,-1 
33,0,0,189,114,1 
34,0,0,49,126,-1 
35,0,74,19,20,1 
36,0,84,27,16,1 
37,0,42,64,30,1 
38,0,0,190,118,1 
39,0,50,44,33,1 
40,70,0,32,25,1 
41,68,0,14,13,1 
42,34,0,59,28,1 
43,0,0,40,119,-1 
44,57,0,44,18,1 
45,0,0,47,125,-1 
46,0,0,52,139,-1 
47,0,0,56,116,-1 
48,60,0,34,19,1 
49,0,0,49,114,-1 
50,0,0,45,135,-1 
51,0,0,61,128,-1 
52,0,0,72,121,-1 
53,0,80,25,8,1 
54,51,0,46,24,1 
55,38,27,31,23,1 
56,0,0,66,113,-1 
57,0,0,55,134,-1 
58,0,0,44,124,-1 
59,0,60,28,23,1 
60,0,100,35,16,1 
61,51,0,55,32,1 
62,0,0,40,119,-1 
63,0,0,182,123,1 
64,0,0,178,125,1 
65,0,0,176,133,1 
66,0,0,194,128,1 
67,0,0,46,111,-1 
68,0,0,56,113,-1 
69,49,0,45,40,1 
70,0,0,60,123,-1 
71,67,0,36,31,1 
72,45,0,58,26,1 
73,38,0,46,31,1 
74,0,90,38,18,1 
75,0,0,46,139,-1 
76,0,0,188,118,1 
77,0,0,50,128,-1 
78,85,0,29,15,1 
79,56,9,23,32,1 
80,0,0,43,114,-1 
81,25,0,58,34,1 
82,0,0,41,125,-1 
83,0,0,44,130,-1 
84,0,0,212,111,1 
85,71,0,26,14,1 
86,0,0,58,126,-1 
87,66,0,37,20,1 
88,0,0,57,117,-1 
89,96,0,34,4,1 
90,0,0,43,147,-1 
91,64,43,36,16,1 
92,0,0,199,117,1 
93,0,77,29,25,1 
