nu=10^-5, nu=10^-4, nu=10^-3, nu=10^-2, nu=10^-1m nu=1, nu=10, nu=10^2, nu=10^3
0.56388,0.57319,0.62766,0.89042,0.99446,0.99858,0.99901,0.99923,0.99925
0.54085,0.54649,0.60976,0.88480,0.99421,0.99859,0.99898,0.99907,0.99904
0.53455,0.53967,0.60231,0.88152,0.99376,0.99816,0.99893,0.99906,0.99904
0.53281,0.53944,0.59894,0.87910,0.99349,0.99834,0.99902,0.99886,0.99893
0.53351,0.53982,0.59837,0.87863,0.99316,0.99825,0.99900,0.99895,0.99900
