resource, consumer1, toxin, environment
30, 109, 46, 1
60, 0, 109, -1
56, 0, 120, -1
22, 142, 50, 1
55, 0, 111, -1
34, 14, 116, -1
17, 105, 53, 1
51, 0, 115, -1
16, 109, 52, 1
49, 0, 116, -1
63, 0, 117, -1
22, 103, 58, 1
24, 93, 57, 1
44, 0, 127, -1
55, 0, 135, -1
46, 0, 120, -1
41, 0, 122, -1
14, 115, 50, 1
21, 118, 61, 1
32, 83, 69, 1
62, 0, 118, -1
16, 126, 40, 1
55, 0, 117, -1
47, 0, 133, -1
14, 127, 38, 1
21, 99, 51, 1
42, 20, 116, -1
20, 122, 46, 1
50, 0, 148, -1
40, 6, 140, -1
32, 3, 112, -1
14, 126, 50, 1
26, 115, 49, 1
13, 121, 51, 1
22, 117, 44, 1
29, 14, 111, -1
27, 105, 54, 1
49, 0, 113, -1
27, 95, 52, 1
24, 100, 58, 1
32, 0, 133, -1
15, 126, 36, 1
40, 0, 134, -1
49, 0, 132, -1
16, 94, 46, 1
51, 0, 131, -1
11, 118, 50, 1
20, 90, 51, 1
20, 109, 48, 1
20, 101, 48, 1
14, 17, 89, -1
20, 109, 45, 1
57, 0, 134, -1
52, 0, 121, -1
26, 70, 67, 1
22, 126, 35, 1
36, 3, 138, -1
16, 140, 39, 1
41, 0, 146, -1
21, 91, 66, 1
23, 113, 44, 1
38, 0, 117, -1
49, 0, 117, -1
28, 95, 50, 1
51, 0, 122, -1
19, 94, 65, 1
18, 112, 50, 1
34, 0, 133, -1
54, 0, 117, -1
19, 112, 55, 1
16, 111, 48, 1
61, 0, 106, -1
24, 132, 52, 1
49, 0, 121, -1
20, 110, 73, 1
46, 0, 143, -1
16, 109, 48, 1
57, 9, 120, -1
18, 24, 109, -1
18, 119, 33, 1
34, 12, 124, -1
29, 73, 68, 1
16, 111, 45, 1
21, 118, 47, 1
17, 79, 54, 1
61, 0, 134, -1
63, 0, 136, -1
22, 108, 57, 1
38, 4, 118, -1
58, 0, 144, -1
16, 107, 51, 1
17, 87, 59, 1
49, 0, 117, -1
52, 0, 120, -1
49, 0, 120, -1
26, 123, 57, 1
41, 0, 118, -1
38, 0, 127, -1
52, 0, 132, -1
13, 12, 105, -1
56, 0, 122, -1
51, 0, 106, -1
46, 0, 111, -1
43, 0, 121, -1
19, 125, 40, 1
17, 105, 43, 1
22, 91, 52, 1
14, 127, 52, 1
14, 116, 45, 1
48, 0, 102, -1
42, 80, 72, 1
40, 0, 114, -1
9, 87, 31, 1
29, 14, 103, -1
13, 73, 74, 1
20, 115, 59, 1
39, 0, 126, -1
54, 0, 119, -1
28, 76, 75, 1
52, 0, 116, -1
22, 8, 119, -1
33, 69, 74, 1
21, 98, 63, 1
27, 106, 53, 1
70, 0, 147, -1
16, 119, 50, 1
22, 87, 57, 1
21, 111, 57, 1
53, 0, 120, -1
52, 0, 132, -1
22, 119, 50, 1
46, 0, 122, -1
64, 0, 142, -1
47, 0, 113, -1
26, 110, 49, 1
25, 112, 58, 1
19, 102, 55, 1
13, 118, 42, 1
35, 103, 61, 1
11, 124, 38, 1
62, 0, 123, -1
43, 0, 119, -1
47, 0, 127, -1
46, 0, 133, -1
20, 115, 57, 1
44, 0, 123, -1
56, 0, 110, -1
17, 110, 51, 1
23, 107, 54, 1
28, 89, 71, 1
43, 0, 130, -1
55, 0, 131, -1
32, 7, 95, -1
18, 110, 40, 1
54, 0, 123, -1
54, 0, 109, -1
19, 94, 53, 1
19, 15, 101, -1
48, 0, 135, -1
18, 121, 43, 1
19, 18, 91, -1
25, 17, 129, -1
28, 8, 87, -1
25, 116, 49, 1
30, 85, 63, 1
23, 106, 51, 1
60, 0, 116, -1
39, 0, 117, -1
50, 0, 115, -1
45, 0, 111, -1
22, 16, 106, -1
54, 0, 114, -1
28, 17, 95, -1
32, 10, 128, -1
16, 127, 53, 1
36, 0, 124, -1
60, 0, 132, -1
43, 0, 128, -1
16, 104, 53, 1
28, 105, 66, 1
13, 127, 50, 1
46, 0, 136, -1
58, 0, 129, -1
54, 0, 138, -1
30, 109, 49, 1
21, 128, 48, 1
25, 6, 120, -1
29, 6, 104, -1
45, 0, 112, -1
45, 0, 123, -1
16, 89, 69, 1
31, 99, 49, 1
23, 81, 74, 1
16, 137, 42, 1
52, 0, 128, -1
45, 0, 140, -1
18, 103, 61, 1
26, 90, 55, 1
34, 18, 112, -1
55, 0, 107, -1
29, 105, 46, 1
64, 0, 117, -1
48, 0, 121, -1
34, 14, 117, -1
23, 86, 65, 1
23, 109, 50, 1
40, 0, 122, -1
16, 116, 51, 1
24, 18, 99, -1
54, 0, 132, -1
28, 87, 58, 1
23, 127, 51, 1
19, 136, 51, 1
22, 104, 49, 1
52, 0, 121, -1
15, 136, 40, 1
43, 0, 147, -1
55, 0, 124, -1
26, 120, 44, 1
54, 0, 128, -1
24, 18, 100, -1
30, 3, 140, -1
27, 128, 51, 1
59, 0, 124, -1
62, 0, 120, -1
41, 0, 123, -1
26, 106, 54, 1
49, 0, 121, -1
52, 0, 146, -1
8, 132, 39, 1
53, 0, 115, -1
19, 98, 49, 1
68, 0, 136, -1
13, 113, 46, 1
36, 0, 127, -1
27, 120, 61, 1
15, 127, 42, 1
15, 117, 46, 1
50, 0, 153, -1
35, 0, 122, -1
40, 0, 129, -1
19, 97, 45, 1
58, 0, 126, -1
37, 9, 106, -1
