resource, consumer1, toxin, environment
43, 0, 115, -1
28, 7, 118, -1
38, 0, 137, -1
48, 0, 129, -1
24, 89, 40, 1
55, 0, 126, -1
51, 0, 116, -1
31, 83, 61, 1
33, 12, 128, -1
43, 0, 102, -1
23, 93, 57, 1
46, 0, 120, -1
39, 0, 124, -1
44, 0, 128, -1
22, 116, 55, 1
17, 125, 65, 1
42, 1, 135, -1
50, 0, 138, -1
21, 79, 62, 1
28, 107, 49, 1
19, 110, 58, 1
15, 107, 57, 1
25, 89, 71, 1
39, 0, 121, -1
45, 0, 130, -1
23, 9, 100, -1
41, 0, 137, -1
42, 0, 139, -1
25, 102, 48, 1
64, 0, 118, -1
59, 0, 124, -1
21, 129, 51, 1
22, 91, 59, 1
54, 0, 103, -1
57, 0, 126, -1
35, 0, 152, -1
21, 21, 106, -1
16, 105, 58, 1
29, 14, 112, -1
15, 127, 50, 1
35, 78, 68, 1
20, 122, 55, 1
30, 104, 71, 1
23, 13, 103, -1
50, 0, 108, -1
22, 117, 48, 1
45, 0, 129, -1
17, 110, 55, 1
13, 142, 47, 1
17, 16, 99, -1
18, 127, 44, 1
46, 0, 145, -1
14, 118, 42, 1
21, 87, 61, 1
13, 20, 109, -1
27, 90, 61, 1
22, 94, 54, 1
30, 97, 57, 1
32, 86, 69, 1
20, 107, 54, 1
45, 0, 137, -1
49, 0, 145, -1
35, 86, 65, 1
38, 0, 126, -1
54, 0, 117, -1
19, 131, 45, 1
60, 0, 128, -1
28, 0, 121, -1
52, 0, 110, -1
16, 97, 63, 1
19, 109, 40, 1
13, 120, 56, 1
22, 120, 50, 1
24, 112, 53, 1
21, 113, 64, 1
24, 98, 51, 1
30, 14, 98, -1
22, 104, 45, 1
17, 97, 47, 1
10, 152, 31, 1
16, 88, 69, 1
56, 0, 127, -1
53, 0, 137, -1
26, 110, 40, 1
30, 76, 62, 1
41, 0, 111, -1
55, 0, 123, -1
48, 0, 133, -1
20, 126, 37, 1
36, 17, 124, -1
20, 113, 58, 1
19, 139, 41, 1
12, 122, 45, 1
47, 0, 127, -1
34, 100, 59, 1
49, 0, 129, -1
28, 5, 116, -1
22, 95, 60, 1
21, 97, 50, 1
15, 152, 43, 1
47, 0, 116, -1
27, 96, 51, 1
30, 90, 47, 1
40, 0, 121, -1
34, 101, 60, 1
23, 102, 60, 1
29, 14, 137, -1
17, 102, 72, 1
23, 126, 60, 1
22, 132, 54, 1
11, 135, 33, 1
55, 0, 137, -1
23, 106, 45, 1
36, 74, 63, 1
22, 127, 57, 1
53, 0, 119, -1
23, 133, 38, 1
61, 0, 119, -1
49, 0, 115, -1
10, 122, 40, 1
19, 108, 57, 1
19, 89, 52, 1
47, 0, 111, -1
25, 78, 55, 1
49, 0, 120, -1
49, 0, 137, -1
51, 0, 113, -1
22, 79, 43, 1
17, 130, 50, 1
48, 0, 105, -1
50, 0, 115, -1
29, 115, 49, 1
19, 107, 57, 1
41, 2, 110, -1
19, 118, 41, 1
45, 0, 139, -1
15, 131, 38, 1
14, 101, 51, 1
59, 0, 138, -1
33, 0, 137, -1
25, 149, 50, 1
63, 0, 115, -1
13, 22, 105, -1
29, 4, 122, -1
26, 102, 61, 1
44, 0, 114, -1
25, 122, 47, 1
29, 12, 115, -1
21, 4, 113, -1
22, 85, 66, 1
29, 110, 53, 1
24, 87, 56, 1
42, 0, 141, -1
22, 97, 61, 1
24, 97, 56, 1
48, 0, 129, -1
54, 0, 95, -1
30, 0, 130, -1
13, 117, 43, 1
36, 10, 114, -1
46, 0, 148, -1
27, 87, 59, 1
23, 82, 66, 1
18, 79, 48, 1
44, 0, 127, -1
20, 130, 55, 1
58, 0, 131, -1
25, 79, 46, 1
19, 114, 58, 1
46, 0, 117, -1
70, 0, 127, -1
62, 0, 123, -1
44, 0, 135, -1
40, 0, 120, -1
24, 79, 55, 1
10, 125, 42, 1
39, 0, 116, -1
23, 11, 114, -1
11, 95, 48, 1
18, 110, 52, 1
52, 0, 116, -1
51, 0, 118, -1
17, 122, 57, 1
52, 0, 135, -1
38, 0, 143, -1
47, 0, 129, -1
26, 94, 72, 1
21, 75, 48, 1
33, 108, 51, 1
26, 108, 46, 1
60, 0, 110, -1
38, 0, 116, -1
34, 1, 105, -1
22, 102, 36, 1
47, 0, 105, -1
19, 97, 47, 1
12, 114, 45, 1
48, 0, 115, -1
22, 108, 41, 1
44, 0, 117, -1
46, 0, 111, -1
58, 0, 118, -1
21, 112, 49, 1
23, 5, 119, -1
29, 69, 69, 1
27, 80, 66, 1
14, 17, 94, -1
21, 98, 60, 1
26, 113, 63, 1
18, 124, 40, 1
47, 0, 114, -1
49, 0, 118, -1
14, 108, 46, 1
42, 5, 120, -1
25, 21, 112, -1
22, 122, 46, 1
60, 0, 128, -1
27, 15, 97, -1
16, 134, 48, 1
28, 28, 107, -1
30, 13, 107, -1
33, 12, 111, -1
42, 1, 147, -1
50, 0, 125, -1
15, 111, 49, 1
20, 103, 54, 1
15, 106, 54, 1
49, 0, 123, -1
51, 0, 132, -1
25, 103, 59, 1
7, 41, 79, -1
44, 0, 123, -1
46, 0, 110, -1
29, 99, 68, 1
23, 6, 114, -1
43, 0, 122, -1
27, 121, 54, 1
62, 0, 135, -1
16, 98, 63, 1
17, 103, 50, 1
56, 0, 123, -1
16, 109, 45, 1
31, 105, 64, 1
44, 0, 119, -1
24, 141, 43, 1
46, 0, 127, -1
19, 111, 67, 1
24, 90, 68, 1
21, 166, 60, 1
10, 143, 48, 1
26, 137, 42, 1
17, 121, 53, 1
24, 96, 55, 1
20, 96, 47, 1
24, 111, 48, 1
23, 12, 140, -1
13, 100, 52, 1
16, 120, 49, 1
22, 89, 52, 1
51, 0, 125, -1
50, 0, 124, -1
21, 100, 46, 1
47, 0, 114, -1
51, 2, 128, -1
18, 120, 39, 1
59, 0, 128, -1
54, 0, 131, -1
21, 98, 38, 1
65, 0, 145, -1
24, 95, 59, 1
21, 116, 46, 1
42, 0, 149, -1
59, 0, 140, -1
44, 0, 116, -1
20, 133, 38, 1
24, 109, 48, 1
37, 0, 115, -1
17, 15, 112, -1
14, 114, 58, 1
15, 115, 44, 1
27, 16, 101, -1
15, 102, 61, 1
21, 86, 52, 1
9, 137, 49, 1
22, 92, 53, 1
17, 119, 36, 1
19, 140, 46, 1
22, 103, 63, 1
13, 23, 92, -1
51, 0, 121, -1
14, 107, 55, 1
30, 5, 129, -1
25, 109, 46, 1
61, 0, 131, -1
22, 91, 56, 1
42, 0, 120, -1
46, 0, 128, -1
44, 0, 126, -1
22, 87, 69, 1
20, 107, 58, 1
48, 0, 138, -1
72, 0, 128, -1
18, 118, 51, 1
27, 89, 53, 1
29, 95, 72, 1
11, 99, 53, 1
15, 139, 52, 1
53, 0, 124, -1
27, 9, 120, -1
23, 94, 54, 1
19, 125, 37, 1
52, 0, 107, -1
27, 99, 50, 1
21, 121, 54, 1
20, 81, 64, 1
35, 0, 132, -1
49, 0, 127, -1
57, 0, 108, -1
28, 98, 66, 1
15, 108, 54, 1
24, 115, 49, 1
20, 97, 49, 1
40, 0, 147, -1
54, 0, 107, -1
62, 0, 82, -1
44, 0, 113, -1
17, 79, 51, 1
23, 107, 64, 1
58, 0, 108, -1
21, 92, 49, 1
20, 98, 58, 1
47, 0, 125, -1
16, 141, 34, 1
27, 2, 107, -1
9, 107, 65, 1
47, 0, 123, -1
19, 79, 54, 1
59, 0, 138, -1
22, 104, 49, 1
50, 0, 127, -1
16, 103, 57, 1
18, 106, 41, 1
62, 0, 113, -1
27, 12, 107, -1
53, 0, 128, -1
48, 0, 134, -1
21, 72, 82, 1
17, 132, 34, 1
25, 85, 63, 1
51, 0, 135, -1
33, 24, 113, -1
44, 0, 138, -1
25, 103, 52, 1
12, 113, 44, 1
20, 101, 48, 1
44, 0, 129, -1
43, 0, 132, -1
26, 111, 52, 1
55, 0, 107, -1
45, 0, 132, -1
48, 0, 130, -1
55, 0, 138, -1
11, 129, 62, 1
38, 0, 105, -1
24, 92, 54, 1
54, 0, 127, -1
33, 85, 64, 1
56, 0, 106, -1
21, 102, 50, 1
17, 103, 49, 1
46, 0, 138, -1
34, 94, 59, 1
32, 99, 52, 1
22, 5, 118, -1
49, 0, 138, -1
20, 108, 47, 1
43, 0, 155, -1
10, 126, 40, 1
33, 0, 105, -1
14, 123, 44, 1
29, 93, 60, 1
60, 0, 140, -1
57, 0, 114, -1
59, 0, 124, -1
23, 105, 60, 1
51, 0, 107, -1
33, 7, 111, -1
30, 97, 48, 1
23, 92, 62, 1
57, 0, 146, -1
50, 0, 123, -1
32, 11, 116, -1
24, 116, 54, 1
53, 0, 129, -1
23, 72, 66, 1
13, 108, 65, 1
28, 102, 53, 1
12, 114, 35, 1
44, 0, 127, -1
70, 0, 115, -1
48, 0, 128, -1
27, 92, 49, 1
44, 0, 125, -1
27, 6, 127, -1
20, 10, 120, -1
59, 0, 112, -1
52, 0, 153, -1
40, 0, 123, -1
26, 22, 107, -1
17, 21, 105, -1
14, 100, 53, 1
28, 102, 69, 1
23, 108, 57, 1
21, 125, 47, 1
53, 0, 122, -1
10, 129, 38, 1
13, 97, 59, 1
20, 19, 88, -1
26, 107, 51, 1
25, 92, 59, 1
17, 136, 36, 1
24, 83, 66, 1
67, 0, 131, -1
40, 0, 126, -1
51, 0, 129, -1
24, 65, 70, 1
46, 0, 116, -1
19, 95, 60, 1
26, 13, 111, -1
32, 20, 104, -1
27, 83, 60, 1
12, 104, 56, 1
23, 3, 121, -1
20, 111, 47, 1
55, 0, 142, -1
48, 0, 117, -1
25, 110, 52, 1
18, 132, 29, 1
58, 0, 124, -1
48, 0, 110, -1
58, 0, 130, -1
49, 0, 119, -1
16, 122, 66, 1
54, 0, 139, -1
14, 136, 50, 1
52, 0, 138, -1
54, 0, 129, -1
23, 12, 88, -1
30, 15, 99, -1
21, 85, 45, 1
