time, resource, consumer1, consumer2, toxin, environment
1.558, 121, 9, 13, 113, 1
1.579, 122, 9, 13, 113, 1
1.598, 121, 9, 13, 113, 1
1.614, 121, 9, 13, 112, 1
1.617, 121, 8, 13, 112, 1
1.635, 121, 8, 13, 112, -1
1.644, 120, 8, 13, 112, -1
1.664, 120, 8, 13, 113, -1
1.675, 119, 8, 13, 113, -1
1.701, 119, 8, 13, 112, -1
1.716, 119, 8, 12, 112, -1
1.744, 119, 8, 13, 112, -1
1.763, 118, 8, 13, 112, -1
1.771, 119, 8, 13, 112, -1
1.780, 119, 8, 13, 113, -1
1.784, 118, 8, 13, 113, -1
1.785, 118, 8, 13, 114, -1
1.792, 117, 8, 13, 114, -1
1.796, 117, 8, 13, 114, 1
1.796, 117, 8, 13, 113, 1
1.798, 117, 8, 13, 112, 1
1.802, 118, 8, 13, 112, 1
1.816, 118, 8, 14, 112, 1
1.817, 118, 7, 14, 112, 1
1.821, 119, 7, 14, 112, 1
1.840, 118, 7, 14, 112, 1
1.843, 118, 7, 15, 112, 1
1.849, 118, 7, 14, 112, 1
1.852, 118, 7, 14, 111, 1
1.863, 118, 8, 14, 111, 1
1.867, 117, 8, 14, 111, 1
1.867, 116, 8, 14, 111, 1
1.879, 115, 8, 14, 111, 1
1.887, 114, 8, 14, 111, 1
1.892, 113, 8, 14, 111, 1
1.898, 113, 8, 15, 111, 1
1.909, 113, 8, 15, 111, -1
1.920, 113, 8, 15, 111, 1
1.927, 113, 8, 16, 111, 1
1.932, 112, 8, 16, 111, 1
1.934, 113, 8, 16, 111, 1
1.945, 113, 8, 17, 111, 1
1.948, 112, 8, 17, 111, 1
1.949, 111, 8, 17, 111, 1
1.953, 112, 8, 17, 111, 1
1.961, 111, 8, 17, 111, 1
1.975, 111, 8, 17, 111, -1
1.990, 111, 8, 17, 110, -1
2.038, 110, 8, 17, 110, -1
2.075, 110, 8, 17, 110, 1
2.083, 110, 8, 16, 110, 1
2.101, 110, 8, 17, 110, 1
2.119, 111, 8, 17, 110, 1
2.128, 111, 8, 17, 109, 1
2.135, 110, 8, 17, 109, 1
2.157, 109, 8, 17, 109, 1
2.167, 109, 8, 16, 109, 1
2.168, 109, 8, 16, 110, 1
2.173, 109, 8, 16, 110, -1
2.190, 109, 8, 17, 110, -1
2.197, 110, 8, 17, 110, -1
2.197, 110, 8, 18, 110, -1
2.223, 110, 8, 18, 111, -1
2.228, 110, 8, 18, 110, -1
2.243, 110, 8, 18, 110, 1
2.244, 111, 8, 18, 110, 1
2.273, 111, 8, 19, 110, 1
2.284, 111, 8, 20, 110, 1
2.293, 111, 9, 20, 110, 1
2.302, 110, 9, 20, 110, 1
2.308, 110, 9, 21, 110, 1
2.340, 110, 9, 21, 109, 1
2.343, 110, 9, 21, 110, 1
2.344, 110, 9, 22, 110, 1
2.345, 111, 9, 22, 110, 1
2.354, 111, 10, 22, 110, 1
2.355, 110, 10, 22, 110, 1
2.360, 109, 10, 22, 110, 1
2.362, 110, 10, 22, 110, 1
2.364, 110, 10, 22, 111, 1
2.377, 110, 10, 22, 110, 1
2.400, 110, 10, 22, 111, 1
2.417, 109, 10, 22, 111, 1
2.456, 109, 10, 22, 112, 1
2.459, 109, 9, 22, 112, 1
2.459, 109, 9, 22, 113, 1
2.464, 109, 9, 21, 113, 1
2.488, 109, 9, 21, 114, 1
2.490, 109, 9, 21, 113, 1
2.494, 110, 9, 21, 113, 1
2.530, 110, 9, 21, 113, -1
2.533, 110, 9, 21, 114, -1
2.545, 110, 9, 22, 114, -1
2.548, 110, 9, 22, 114, 1
