time, resource, consumer1, consumer2, toxin, environment
2.189, 110, 16, 17, 117, -1
2.193, 110, 17, 17, 117, -1
2.206, 109, 17, 17, 117, -1
2.213, 109, 18, 17, 117, -1
2.241, 109, 18, 17, 118, -1
2.251, 108, 18, 17, 118, -1
2.255, 107, 18, 17, 118, -1
2.284, 108, 18, 17, 118, -1
2.288, 108, 18, 17, 117, -1
2.298, 107, 18, 17, 117, -1
2.303, 107, 18, 17, 118, -1
2.317, 106, 18, 17, 118, -1
2.326, 106, 18, 17, 117, -1
2.344, 106, 18, 17, 116, -1
2.365, 106, 18, 18, 116, -1
2.383, 106, 19, 18, 116, -1
2.392, 106, 19, 18, 115, -1
2.408, 106, 18, 18, 115, -1
2.410, 106, 18, 18, 114, -1
2.415, 106, 19, 18, 114, -1
2.424, 106, 19, 18, 115, -1
2.441, 106, 20, 18, 115, -1
2.447, 106, 20, 18, 114, -1
2.451, 105, 20, 18, 114, -1
2.456, 105, 20, 18, 115, -1
2.460, 105, 19, 18, 115, -1
2.470, 104, 19, 18, 115, -1
2.480, 103, 19, 18, 115, -1
2.482, 103, 19, 18, 114, -1
2.487, 104, 19, 18, 114, -1
2.527, 104, 19, 19, 114, -1
2.533, 103, 19, 19, 114, -1
2.536, 102, 19, 19, 114, -1
2.553, 102, 19, 19, 115, -1
2.557, 102, 19, 19, 114, -1
2.558, 101, 19, 19, 114, -1
2.562, 101, 20, 19, 114, -1
2.589, 101, 19, 19, 114, -1
2.605, 101, 18, 19, 114, -1
2.612, 102, 18, 19, 114, -1
2.616, 101, 18, 19, 114, -1
2.621, 101, 18, 19, 113, -1
2.625, 100, 18, 19, 113, -1
2.628, 100, 18, 19, 114, -1
2.638, 100, 18, 19, 115, -1
2.645, 99, 18, 19, 115, -1
2.660, 99, 18, 19, 116, -1
2.664, 99, 18, 19, 117, -1
2.671, 99, 18, 19, 118, -1
2.672, 99, 18, 19, 119, -1
2.677, 99, 19, 19, 119, -1
2.678, 99, 19, 19, 120, -1
2.695, 99, 19, 19, 119, -1
2.696, 98, 19, 19, 119, -1
