time, resource, consumer1, consumer2, toxin, environment
0.000, 150, 10, 10, 125, -1
0.004, 150, 10, 10, 124, -1
0.017, 150, 10, 10, 123, -1
0.018, 150, 10, 11, 123, -1
0.022, 150, 10, 11, 122, -1
0.031, 150, 10, 12, 122, -1
0.061, 150, 10, 13, 122, -1
0.069, 151, 10, 13, 122, -1
0.118, 151, 10, 14, 122, -1
0.122, 151, 10, 14, 123, -1
0.137, 151, 11, 14, 123, -1
0.161, 150, 11, 14, 123, -1
0.162, 151, 11, 14, 123, -1
0.164, 150, 11, 14, 123, -1
0.187, 149, 11, 14, 123, -1
0.188, 149, 12, 14, 123, -1
0.200, 148, 12, 14, 123, -1
0.220, 147, 12, 14, 123, -1
0.222, 147, 12, 14, 124, -1
0.222, 147, 12, 14, 123, -1
0.225, 146, 12, 14, 123, -1
0.256, 147, 12, 14, 123, -1
0.260, 147, 12, 14, 124, -1
0.279, 147, 11, 14, 124, -1
0.283, 147, 11, 13, 124, -1
0.294, 146, 11, 13, 124, -1
0.312, 146, 11, 13, 125, -1
0.316, 145, 11, 13, 125, -1
0.348, 145, 12, 13, 125, -1
0.361, 144, 12, 13, 125, -1
0.364, 143, 12, 13, 125, -1
0.369, 142, 12, 13, 125, -1
0.399, 142, 12, 14, 125, -1
0.462, 142, 12, 15, 125, -1
0.468, 142, 11, 15, 125, -1
0.474, 141, 11, 15, 125, -1
0.476, 141, 11, 15, 124, -1
0.478, 140, 11, 15, 124, -1
0.482, 140, 11, 16, 124, -1
0.512, 139, 11, 16, 124, -1
0.517, 138, 11, 16, 124, -1
0.547, 138, 11, 16, 125, -1
0.561, 138, 11, 17, 125, -1
0.592, 138, 11, 17, 126, -1
0.642, 138, 11, 17, 127, -1
0.651, 138, 11, 16, 127, -1
0.653, 138, 11, 17, 127, -1
0.669, 138, 11, 17, 128, -1
0.672, 138, 11, 18, 128, -1
0.672, 138, 11, 18, 129, -1
0.717, 137, 11, 18, 129, -1
0.720, 137, 11, 18, 130, -1
0.733, 137, 11, 18, 131, -1
0.758, 136, 11, 18, 131, -1
0.776, 136, 11, 17, 131, -1
0.779, 136, 11, 18, 131, -1
0.801, 136, 11, 19, 131, -1
0.810, 136, 11, 20, 131, -1
0.828, 136, 11, 21, 131, -1
0.842, 136, 11, 22, 131, -1
0.845, 135, 11, 22, 131, -1
0.846, 135, 11, 23, 131, -1
0.875, 135, 11, 23, 130, -1
0.890, 134, 11, 23, 130, -1
0.891, 134, 11, 24, 130, -1
0.901, 134, 11, 24, 131, -1
0.906, 134, 11, 25, 131, -1
0.923, 133, 11, 25, 131, -1
0.932, 133, 12, 25, 131, -1
0.941, 132, 12, 25, 131, -1
0.950, 131, 12, 25, 131, -1
0.952, 132, 12, 25, 131, -1
0.962, 132, 12, 24, 131, -1
0.972, 132, 12, 24, 130, -1
0.976, 131, 12, 24, 130, -1
0.985, 131, 12, 24, 131, -1
0.996, 131, 13, 24, 131, -1
1.009, 131, 14, 24, 131, -1
1.016, 130, 14, 24, 131, -1
1.027, 130, 14, 24, 132, -1
1.039, 130, 13, 24, 132, -1
1.041, 130, 13, 24, 133, -1
1.047, 129, 13, 24, 133, -1
1.061, 129, 13, 24, 132, -1
1.065, 129, 13, 23, 132, -1
