nu=10^-5, nu=10^-4, nu=10^-3, nu=10^-2, nu=10^-1m nu=1, nu=10, nu=10^2, nu=10^3
0.03958,0.03931,0.03504,0.01247,0.00151,0.00295,0.00361,0.00336,0.00389
0.01412,0.01430,0.01316,0.00494,0.00043,0.00034,0.00027,0.00027,0.00031
0.00801,0.00752,0.00706,0.00247,0.00007,0.00004,0.00002,0.00001,0.00004
