nu=10^-5, nu=10^-4, nu=10^-3, nu=10^-2, nu=10^-1m nu=1, nu=10, nu=10^2, nu=10^3
0.07210,0.07303,0.07221,0.06818,0.04862,0.03592,0.03452,0.03505,0.03453
0.01825,0.01790,0.01691,0.01426,0.00698,0.00425,0.00347,0.00386,0.00335
0.00458,0.00502,0.00479,0.00370,0.00150,0.00058,0.00036,0.00044,0.00062
