nu=10^-5, nu=10^-4, nu=10^-3, nu=10^-2, nu=10^-1m nu=1, nu=10, nu=10^2, nu=10^3
0.61083,0.62047,0.67057,0.91935,0.99955,0.99993,0.99997,0.99997,0.99998
0.59040,0.59475,0.65319,0.91476,0.99936,0.99996,0.99993,0.99994,0.99997
0.58064,0.59045,0.64801,0.91181,0.99946,0.99995,0.99997,0.99995,0.99998
