trial, S1, S2, R, T, xi
1,0,80,33,81,-1 
2,0,61,33,99,1 
3,49,59,19,67,-1 
4,9,89,9,85,-1 
5,76,0,6,88,-1 
6,10,55,29,88,-1 
7,17,31,17,117,1 
8,0,71,10,99,-1 
9,0,55,24,96,-1 
10,64,0,17,96,1 
11,52,0,15,74,1 
12,59,0,35,98,1 
13,16,38,22,115,-1 
14,57,4,15,84,-1 
15,9,72,19,99,-1 
16,27,41,25,85,1 
17,55,8,13,86,1 
18,45,29,22,94,1 
19,0,56,13,86,1 
20,45,26,16,93,-1 
21,0,52,19,97,-1 
22,39,0,18,116,1 
23,39,15,26,99,1 
24,47,12,21,84,1 
25,0,64,20,100,-1 
26,60,13,17,113,1 
27,0,79,12,93,-1 
28,13,59,18,103,-1 
29,86,0,13,81,-1 
30,85,0,12,102,1 
31,99,0,14,90,1 
32,93,0,18,100,-1 
33,46,30,17,106,1 
34,76,0,14,103,-1 
35,0,57,20,97,1 
36,0,115,14,81,-1 
37,0,75,18,85,-1 
38,28,43,8,86,-1 
39,61,30,14,101,-1 
40,54,0,19,94,1 
41,5,48,14,100,-1 
42,29,43,20,102,1 
43,30,41,20,79,1 
44,0,86,20,90,1 
45,40,35,23,83,-1 
46,94,0,23,76,-1 
47,1,86,18,89,1 
48,0,49,20,105,1 
49,19,73,11,85,-1 
50,10,91,5,88,-1 
51,2,63,23,76,-1 
52,0,69,16,91,-1 
53,38,30,15,81,-1 
54,0,64,16,112,-1 
55,28,29,12,96,-1 
56,58,6,17,84,1 
57,0,69,23,96,1 
58,86,0,22,88,1 
59,58,0,30,86,1 
60,52,0,18,97,-1 
61,0,61,26,78,-1 
62,69,0,14,86,-1 
63,56,46,19,72,-1 
64,4,63,15,79,-1 
65,26,67,16,78,-1 
66,0,60,17,75,1 
67,21,51,22,92,1 
68,30,29,16,84,-1 
69,58,30,14,92,-1 
70,0,47,28,101,1 
71,101,11,15,72,1 
72,0,49,28,95,1 
73,53,30,26,84,-1 
74,47,9,24,84,1 
75,0,86,20,84,-1 
76,68,0,21,87,-1 
77,17,56,19,112,1 
78,50,10,11,93,-1 
79,0,72,13,100,-1 
80,0,45,13,86,1 
81,0,67,17,79,1 
82,11,74,18,84,1 
83,44,19,13,94,1 
84,48,28,23,105,1 
85,94,7,10,78,-1 
86,35,30,20,102,-1 
87,57,0,27,119,-1 
88,0,72,23,97,1 
89,0,63,25,85,1 
90,61,0,9,90,-1 
91,93,0,11,92,1 
92,25,65,9,104,-1 
93,6,72,12,84,-1 
94,64,0,9,100,1 
95,12,55,17,85,1 
96,62,4,24,113,1 
97,50,0,21,114,-1 
98,69,12,18,81,1 
99,0,55,18,102,1 
100,0,57,14,81,-1 
101,0,93,19,96,-1 
102,0,66,21,91,-1 
103,63,0,20,97,-1 
104,75,0,11,74,1 
105,73,0,18,103,-1 
106,0,66,17,107,1 
107,6,44,17,89,1 
108,94,0,8,78,-1 
109,45,0,13,78,-1 
110,53,22,19,112,-1 
111,9,39,21,77,-1 
112,0,63,21,95,-1 
113,30,30,26,96,-1 
114,0,68,28,107,1 
115,32,43,19,101,-1 
116,27,72,14,76,-1 
117,33,68,7,75,-1 
118,0,66,27,91,-1 
119,22,52,15,86,1 
120,16,58,17,109,-1 
121,0,65,32,88,1 
122,70,9,16,85,-1 
123,61,46,14,95,1 
124,30,36,22,85,-1 
125,67,0,12,94,1 
126,0,68,20,89,1 
127,27,65,15,87,1 
128,0,85,11,111,1 
129,20,46,24,81,1 
130,43,18,14,74,-1 
131,3,56,15,70,-1 
132,27,36,16,86,-1 
133,0,68,17,105,1 
134,1,69,16,110,-1 
135,59,19,8,80,-1 
136,43,15,29,92,-1 
137,62,6,23,90,-1 
138,51,31,12,84,-1 
139,16,44,19,95,-1 
140,48,11,18,98,1 
141,67,0,18,93,-1 
142,46,28,20,84,-1 
143,0,69,14,89,1 
144,38,10,36,96,-1 
145,75,0,10,83,1 
146,44,40,15,93,1 
147,60,19,20,80,-1 
148,56,21,18,79,1 
149,22,34,11,128,-1 
150,0,77,25,84,-1 
151,53,0,15,91,1 
152,51,19,13,89,1 
153,40,33,21,97,-1 
154,33,58,17,70,1 
155,0,38,21,82,1 
156,57,0,21,95,1 
157,1,80,9,90,1 
158,16,75,23,89,1 
159,0,80,16,89,1 
160,0,70,10,96,-1 
161,59,0,9,94,1 
162,60,11,16,86,-1 
163,15,52,14,93,1 
164,98,0,12,92,-1 
165,0,47,14,86,-1 
166,84,0,19,81,1 
167,0,79,18,77,1 
168,0,62,25,79,-1 
169,3,79,18,88,1 
170,56,6,19,80,-1 
171,0,73,24,86,-1 
172,63,0,17,80,-1 
173,0,77,20,91,-1 
174,69,0,14,86,1 
175,0,51,10,87,-1 
176,87,0,17,75,1 
177,79,0,17,83,-1 
178,63,0,9,93,-1 
179,51,34,18,80,-1 
180,48,20,21,89,-1 
181,72,0,10,97,-1 
182,56,23,18,93,1 
183,56,0,15,99,1 
184,64,5,13,89,1 
185,0,86,11,89,1 
186,5,68,17,104,-1 
187,87,0,21,85,-1 
188,13,51,11,89,-1 
189,70,0,12,103,-1 
190,0,83,16,91,-1 
191,82,0,9,76,1 
192,29,47,18,82,-1 
193,0,57,28,90,1 
194,10,82,13,86,1 
195,55,0,15,71,-1 
196,0,76,31,92,1 
197,43,34,19,84,1 
198,28,53,12,78,-1 
199,91,1,24,96,1 
200,0,65,16,90,1 
201,0,106,19,88,-1 
202,59,0,14,96,1 
203,41,62,15,83,1 
204,49,9,29,83,1 
205,77,0,23,100,-1 
206,30,50,18,72,1 
207,70,0,12,93,-1 
208,30,49,16,81,1 
209,0,78,18,79,1 
210,49,15,28,95,1 
211,0,73,16,90,-1 
212,21,25,19,99,1 
213,0,72,14,84,-1 
214,75,0,12,107,-1 
215,58,0,15,84,1 
216,0,60,17,99,-1 
217,50,42,10,90,-1 
218,9,48,20,107,-1 
219,46,28,25,104,-1 
220,55,0,29,80,-1 
221,4,74,5,73,-1 
222,86,7,22,76,-1 
223,98,0,13,77,1 
224,26,41,16,105,1 
225,46,0,24,113,1 
226,65,15,19,81,-1 
227,17,77,12,87,1 
228,26,40,28,90,-1 
229,94,5,13,85,1 
230,56,26,17,90,1 
231,26,47,21,88,1 
232,43,46,13,73,1 
233,63,22,14,77,1 
234,54,14,16,92,-1 
235,66,0,19,84,-1 
236,7,91,23,83,-1 
237,8,61,29,106,-1 
238,76,0,21,87,1 
239,77,0,17,87,1 
240,0,54,15,87,1 
241,80,0,9,98,1 
242,66,19,10,72,-1 
243,27,50,29,71,1 
244,77,0,17,86,1 
245,0,68,16,98,-1 
246,73,8,18,117,1 
247,71,0,15,69,1 
248,0,78,20,86,-1 
249,23,50,15,99,-1 
250,83,0,15,94,-1 
251,0,59,18,95,-1 
252,2,58,11,80,-1 
253,0,74,14,97,1 
254,0,49,22,98,-1 
255,6,36,36,97,1 
256,17,61,11,94,-1 
257,0,90,14,72,1 
258,41,20,14,90,-1 
259,0,78,16,95,-1 
260,22,70,12,69,1 
261,23,44,33,105,-1 
262,28,40,28,93,-1 
263,0,70,11,70,-1 
264,11,51,16,90,1 
265,45,0,15,101,1 
266,0,75,25,84,1 
267,14,37,15,96,1 
268,0,62,8,77,-1 
269,7,63,22,82,1 
270,12,61,27,117,-1 
271,69,34,12,71,1 
272,23,67,15,75,1 
273,46,31,21,82,1 
274,0,83,23,76,-1 
275,74,0,23,83,-1 
276,0,68,15,101,1 
277,74,0,9,102,1 
278,17,74,12,93,1 
279,92,0,10,98,1 
280,10,77,20,82,1 
281,27,50,15,80,-1 
282,30,52,14,80,-1 
283,23,51,9,99,-1 
284,76,7,14,89,1 
285,70,0,12,101,-1 
286,51,27,19,88,1 
287,49,8,20,84,-1 
288,73,22,15,85,1 
289,50,25,15,83,1 
290,33,41,20,74,-1 
291,12,43,16,101,-1 
292,12,48,22,99,1 
293,72,5,20,100,-1 
294,69,21,6,94,-1 
295,27,21,14,99,1 
296,0,58,27,90,1 
297,72,0,16,103,-1 
298,71,0,20,88,1 
299,11,35,18,93,1 
300,53,8,22,95,1 
301,38,25,21,105,1 
302,0,70,18,87,1 
303,32,48,14,96,1 
304,67,2,14,93,-1 
305,13,53,20,100,-1 
306,82,0,14,102,-1 
307,0,86,17,75,1 
308,0,89,27,99,1 
309,67,0,7,83,-1 
310,28,30,11,93,-1 
311,99,0,14,89,-1 
312,34,36,24,85,1 
313,50,26,33,80,-1 
314,42,7,21,108,-1 
315,0,95,17,83,1 
316,16,81,13,78,1 
317,56,0,18,106,-1 
318,59,21,15,76,1 
319,0,93,16,79,1 
320,50,15,16,84,1 
321,3,66,11,88,-1 
322,49,39,18,83,-1 
323,67,0,21,82,1 
324,39,54,20,98,1 
325,68,0,17,94,-1 
326,50,2,11,101,-1 
327,5,65,21,92,-1 
328,0,69,15,101,1 
329,0,47,23,102,1 
330,50,20,16,102,1 
331,8,64,24,100,-1 
332,72,0,16,75,1 
333,31,38,22,88,1 
334,84,8,17,103,1 
335,80,0,12,85,-1 
336,32,44,10,93,-1 
337,44,43,13,103,-1 
338,43,24,15,84,-1 
339,49,25,16,87,1 
340,46,0,28,104,1 
341,66,0,11,68,-1 
342,21,46,16,90,-1 
343,37,24,18,81,1 
344,0,73,17,84,-1 
345,0,74,15,93,-1 
346,27,39,20,94,1 
347,28,54,12,88,1 
348,60,0,22,114,-1 
349,76,0,14,102,1 
350,0,80,6,72,1 
351,36,48,16,68,-1 
352,51,10,20,105,1 
353,1,44,18,103,1 
354,0,82,13,99,-1 
355,74,0,14,91,-1 
356,0,69,15,106,-1 
357,0,66,9,91,1 
358,59,32,11,70,-1 
359,78,0,19,83,-1 
360,0,80,14,112,1 
361,72,0,26,100,1 
362,0,61,20,98,-1 
363,30,29,20,90,1 
364,18,47,12,85,1 
365,0,62,24,101,-1 
366,3,66,25,71,-1 
367,11,45,19,90,1 
368,36,32,12,97,1 
369,37,12,15,93,1 
370,37,40,14,76,1 
371,8,67,13,114,1 
372,31,27,17,89,1 
373,58,3,18,91,-1 
374,5,44,24,92,-1 
375,30,56,16,99,-1 
376,44,40,8,91,1 
377,25,36,20,75,1 
378,91,0,18,62,1 
379,44,4,23,99,1 
380,75,0,12,113,-1 
381,79,17,14,72,1 
382,50,26,14,88,-1 
383,37,46,21,84,-1 
384,0,87,19,87,1 
385,61,0,22,91,1 
386,11,64,11,101,1 
387,0,60,12,99,-1 
388,0,67,18,106,1 
389,14,44,12,83,-1 
390,11,78,17,80,-1 
391,82,0,14,97,-1 
392,14,74,10,72,1 
393,38,21,25,95,1 
394,35,41,13,104,1 
395,56,41,8,73,1 
396,0,50,27,92,1 
397,85,0,19,79,-1 
398,82,0,15,93,1 
399,39,15,12,86,-1 
400,0,90,12,87,1 
401,40,23,16,82,1 
402,113,0,13,66,-1 
403,2,59,13,89,-1 
404,0,65,32,91,1 
405,13,55,22,79,-1 
406,0,57,20,87,1 
407,26,44,24,86,-1 
408,5,78,12,99,-1 
409,41,34,15,87,1 
410,26,47,17,97,1 
411,51,7,13,98,1 
412,22,46,21,99,-1 
413,41,21,17,105,1 
414,18,37,19,102,-1 
415,54,18,23,79,1 
416,45,0,27,94,-1 
417,0,76,9,73,1 
418,69,0,9,87,-1 
419,24,52,16,109,1 
420,73,5,23,87,1 
421,0,72,17,91,1 
422,0,70,14,86,-1 
423,0,40,22,99,-1 
424,42,0,27,116,-1 
425,0,71,22,87,-1 
426,0,70,18,88,1 
427,92,0,18,91,-1 
428,34,60,22,86,-1 
429,78,0,21,92,1 
430,31,28,16,74,1 
431,93,5,13,104,-1 
432,77,1,9,101,-1 
433,89,0,21,89,1 
434,37,36,14,81,1 
435,70,0,32,103,1 
436,32,20,20,103,1 
437,61,14,15,86,-1 
438,0,65,18,97,1 
439,63,33,23,83,-1 
440,7,73,18,85,-1 
441,35,43,11,87,1 
442,25,59,9,76,-1 
443,16,63,23,110,-1 
444,22,32,18,127,1 
445,9,41,25,101,-1 
446,0,68,32,72,1 
447,0,75,24,100,1 
448,0,63,20,96,-1 
449,2,50,18,73,1 
450,72,0,12,78,1 
451,15,45,28,92,1 
452,0,57,22,95,-1 
453,74,6,15,87,-1 
454,0,58,27,86,1 
455,0,64,20,88,1 
456,15,58,15,100,-1 
457,39,20,26,96,1 
458,0,94,9,82,1 
459,0,84,18,89,1 
460,61,9,14,91,-1 
461,0,72,20,95,-1 
462,60,13,14,95,-1 
463,35,45,25,61,-1 
464,88,1,18,94,-1 
465,107,0,19,72,-1 
466,0,45,27,104,1 
467,35,50,15,80,1 
468,70,0,15,80,-1 
469,72,22,14,92,-1 
470,36,22,24,93,1 
471,40,12,25,94,-1 
472,33,42,13,100,-1 
473,57,6,12,86,1 
474,7,63,15,64,1 
475,48,0,17,77,1 
476,39,13,21,88,1 
477,39,44,6,78,1 
478,76,17,19,87,-1 
479,75,6,15,86,1 
480,0,53,16,116,-1 
481,26,65,8,79,1 
482,88,7,18,74,1 
483,0,93,14,80,-1 
484,0,45,27,101,-1 
485,29,72,16,75,1 
486,17,25,26,110,1 
487,53,5,21,97,-1 
488,40,0,14,106,-1 
489,0,70,12,101,1 
490,69,24,10,88,1 
491,0,69,12,74,1 
492,32,42,19,86,-1 
493,31,52,18,92,-1 
494,64,0,11,105,1 
495,12,39,33,106,1 
496,23,55,26,103,1 
497,101,0,7,89,1 
498,0,79,19,95,1 
499,79,0,16,96,-1 
500,72,13,26,95,1 
501,36,0,21,90,-1 
502,14,70,18,84,-1 
503,0,76,16,89,-1 
504,25,40,26,74,-1 
505,46,27,17,88,1 
506,0,80,9,87,1 
507,27,53,19,83,1 
508,0,80,18,99,-1 
509,76,2,19,80,-1 
510,61,22,11,112,1 
511,37,3,35,96,1 
512,32,72,17,79,1 
513,0,70,23,90,-1 
514,23,52,19,104,1 
515,46,11,14,82,1 
516,0,89,15,89,-1 
517,0,53,27,99,-1 
518,0,72,11,91,1 
519,13,52,19,87,1 
520,18,60,15,90,-1 
521,91,0,14,87,-1 
522,56,0,12,78,1 
523,82,4,19,79,1 
524,60,9,23,96,-1 
525,81,1,22,80,1 
526,0,93,15,72,-1 
527,0,70,9,88,-1 
528,0,67,6,106,1 
529,15,60,34,98,-1 
530,60,18,14,92,-1 
531,72,14,22,80,-1 
532,0,85,11,86,-1 
533,0,78,12,85,-1 
534,0,59,20,80,1 
535,62,3,17,89,-1 
536,95,0,12,89,-1 
537,0,77,17,68,-1 
538,72,5,16,103,1 
539,80,0,33,82,1 
540,76,0,16,87,1 
541,80,0,22,93,1 
542,17,66,16,80,-1 
543,67,14,15,72,-1 
544,5,93,18,95,-1 
545,30,36,16,86,1 
546,91,14,19,91,-1 
547,9,57,18,99,-1 
548,0,61,15,95,-1 
549,22,48,22,87,1 
550,28,48,15,91,-1 
551,56,11,20,73,1 
552,0,81,22,78,1 
553,79,1,23,71,-1 
554,36,24,20,92,1 
555,63,24,14,104,1 
556,0,83,12,94,1 
557,12,43,23,91,1 
558,95,0,7,88,-1 
559,77,43,20,92,1 
560,16,49,34,97,-1 
561,60,47,20,93,1 
562,76,0,18,82,1 
563,54,7,16,107,-1 
564,0,65,17,77,1 
565,10,58,27,86,1 
566,40,41,20,92,1 
567,43,41,14,107,1 
568,65,0,20,98,1 
569,47,3,24,103,-1 
570,58,18,23,105,-1 
571,10,64,19,100,1 
572,86,3,28,77,-1 
573,0,81,15,92,-1 
574,0,72,26,74,-1 
575,28,64,12,80,-1 
576,60,0,27,96,-1 
577,63,0,21,99,1 
578,53,12,13,91,-1 
579,30,46,16,80,1 
580,73,0,21,91,-1 
581,0,64,25,92,1 
582,0,82,17,100,1 
583,51,32,22,87,1 
584,0,69,17,83,1 
585,32,50,14,98,-1 
586,16,55,13,83,-1 
587,0,68,21,93,-1 
588,29,36,16,80,1 
589,47,36,24,75,1 
590,39,22,14,91,1 
591,8,44,20,99,1 
592,0,61,24,99,1 
593,36,59,11,79,-1 
594,45,25,21,81,-1 
595,0,76,16,82,-1 
596,67,15,15,85,1 
597,72,1,25,107,1 
598,6,52,7,92,-1 
599,21,51,15,87,-1 
600,9,59,20,93,-1 
601,36,40,30,98,1 
602,30,41,16,78,-1 
603,94,0,15,89,-1 
604,34,24,13,82,1 
605,26,63,7,76,-1 
606,18,53,20,91,-1 
607,63,13,15,87,1 
608,69,0,20,87,1 
609,22,44,18,91,1 
610,59,0,11,101,1 
611,24,39,18,101,-1 
612,0,95,10,88,1 
613,0,69,18,85,1 
614,3,64,30,96,1 
615,63,10,16,90,1 
616,1,89,16,75,-1 
617,0,68,16,85,-1 
618,0,65,21,103,-1 
619,0,89,16,89,1 
620,1,72,25,82,1 
621,0,60,19,108,1 
622,6,84,14,63,-1 
623,4,52,17,89,1 
624,8,97,9,93,-1 
625,0,68,12,92,-1 
626,62,0,16,90,-1 
627,0,73,21,89,1 
628,40,37,13,106,1 
629,49,1,21,116,-1 
630,45,11,27,89,1 
631,25,56,12,91,-1 
632,20,28,18,77,-1 
633,83,0,22,98,-1 
634,0,90,17,85,-1 
635,76,8,16,91,1 
636,0,75,21,88,1 
637,2,72,17,101,1 
638,24,40,14,75,1 
639,0,66,17,97,1 
640,48,4,18,93,-1 
641,78,5,13,94,1 
642,0,68,15,87,1 
643,99,0,15,89,1 
644,51,22,21,65,1 
645,35,57,15,86,1 
646,15,42,18,96,-1 
647,57,0,29,107,1 
648,6,51,14,97,-1 
649,87,0,11,94,-1 
650,77,0,19,99,1 
651,42,50,14,72,-1 
652,32,49,22,90,1 
653,49,17,31,107,-1 
654,0,53,24,101,-1 
655,3,77,15,75,1 
656,50,20,14,95,-1 
657,80,0,9,78,-1 
658,78,24,18,104,-1 
659,60,0,22,85,-1 
660,12,74,10,74,1 
661,67,0,22,78,-1 
662,0,79,20,79,1 
663,16,57,21,87,1 
664,0,76,19,92,1 
665,0,68,21,83,1 
666,53,16,16,91,-1 
667,52,0,27,90,1 
668,59,3,18,72,1 
669,72,25,16,70,1 
670,4,51,24,87,1 
671,52,24,12,81,-1 
672,71,12,4,87,-1 
673,47,0,27,95,1 
674,38,17,26,97,-1 
675,30,20,26,91,1 
676,2,61,19,81,1 
677,14,81,21,81,1 
678,0,100,15,70,-1 
679,0,98,14,72,-1 
680,56,30,20,91,-1 
681,21,49,22,97,-1 
682,11,78,18,78,-1 
683,78,12,18,107,-1 
684,3,49,14,90,-1 
685,48,0,22,82,-1 
686,43,16,21,98,1 
687,66,2,19,98,1 
688,0,87,11,102,1 
689,65,0,21,79,1 
690,32,31,17,87,-1 
691,73,10,16,88,1 
692,0,85,20,88,1 
693,56,24,15,99,-1 
