trial, S1, S2, R, T, xi
1,91,22,20,84,1 
2,0,10,24,101,-1 
3,0,12,27,103,-1 
4,0,20,26,106,-1 
5,0,22,13,107,-1 
6,87,50,15,79,1 
7,15,0,15,143,-1 
8,0,25,18,120,-1 
9,0,121,13,93,1 
10,107,4,19,80,1 
11,1,26,13,110,-1 
12,0,19,18,121,-1 
13,19,0,16,111,-1 
14,0,23,11,122,-1 
15,98,28,12,57,1 
16,0,26,31,117,-1 
17,14,0,21,130,-1 
18,7,10,26,97,-1 
19,108,31,15,73,1 
20,15,4,14,103,-1 
21,9,0,22,116,-1 
22,171,9,12,72,1 
23,25,95,13,76,1 
24,18,19,11,102,-1 
25,129,17,24,69,1 
26,9,0,16,147,-1 
27,11,0,33,113,-1 
28,1,0,35,133,-1 
29,21,0,16,103,-1 
30,143,3,11,76,1 
31,76,31,19,79,1 
32,162,0,11,67,1 
33,0,21,28,121,-1 
34,46,69,18,72,1 
35,35,95,15,67,1 
36,142,3,21,61,1 
37,0,18,12,119,-1 
38,30,129,17,60,1 
39,40,0,8,119,-1 
40,158,0,17,39,1 
41,19,0,13,99,-1 
42,0,23,30,116,-1 
43,0,113,13,80,1 
44,22,0,20,123,-1 
45,0,124,17,72,1 
46,143,0,13,83,1 
47,0,27,17,118,-1 
48,0,24,14,113,-1 
49,18,0,31,108,-1 
50,80,28,16,70,1 
51,35,82,19,71,1 
52,91,14,16,94,1 
53,80,65,25,59,1 
54,58,78,15,79,1 
55,0,19,28,102,-1 
56,0,31,15,134,-1 
57,56,66,19,76,1 
58,0,24,21,117,-1 
59,18,0,14,120,-1 
60,121,0,13,88,1 
61,56,62,26,81,1 
62,27,0,15,108,-1 
63,6,27,11,112,-1 
64,49,105,14,82,1 
65,28,0,13,95,-1 
66,0,129,19,82,1 
67,120,19,14,59,1 
68,33,84,18,82,1 
69,35,0,17,130,-1 
70,129,8,14,62,1 
71,0,15,24,129,-1 
72,0,17,32,113,-1 
73,0,43,8,110,-1 
74,29,117,22,63,1 
75,17,0,18,116,-1 
76,33,0,14,100,-1 
77,0,18,24,125,-1 
78,27,0,19,122,-1 
79,123,41,10,60,1 
80,0,0,59,130,-1 
81,37,122,14,45,1 
82,37,0,9,103,-1 
83,64,58,9,74,1 
84,23,0,27,130,-1 
85,104,0,25,75,1 
86,75,67,18,62,1 
87,0,103,14,93,1 
88,0,0,57,123,-1 
89,37,72,24,71,1 
90,64,42,13,80,1 
91,0,121,25,81,1 
92,0,21,27,125,-1 
93,14,0,28,109,-1 
94,85,47,16,73,1 
95,99,0,22,77,1 
96,0,14,33,129,-1 
97,33,0,6,112,-1 
98,15,0,17,90,-1 
99,24,0,10,125,-1 
100,88,47,15,59,1 
101,40,67,12,66,1 
102,0,31,16,136,-1 
103,27,0,11,115,-1 
104,127,6,12,91,1 
105,43,80,16,78,1 
106,6,19,9,108,-1 
107,66,118,14,79,1 
108,14,113,12,54,1 
109,66,99,14,77,1 
110,0,30,15,124,-1 
111,103,25,13,65,1 
112,22,0,13,107,-1 
113,99,0,15,89,1 
114,5,17,14,126,-1 
115,57,73,16,70,1 
116,11,0,19,103,-1 
117,0,17,30,118,-1 
118,14,0,30,116,-1 
119,0,23,18,105,-1 
120,66,66,11,75,1 
121,28,97,11,66,1 
122,52,96,19,91,1 
123,0,29,14,109,-1 
124,33,103,15,70,1 
125,21,0,23,110,-1 
126,15,0,19,130,-1 
127,0,13,21,133,-1 
128,32,0,20,99,-1 
129,25,0,17,102,-1 
130,89,11,2,71,-1 
131,0,22,19,109,-1 
132,117,20,25,82,1 
133,46,108,13,61,1 
134,0,26,7,109,-1 
135,0,111,20,71,1 
136,5,22,13,134,-1 
137,0,119,12,76,1 
138,108,0,17,59,1 
139,23,0,25,112,-1 
140,108,14,20,66,1 
141,0,139,17,73,1 
142,25,138,13,73,1 
143,33,74,17,77,1 
144,21,0,26,126,-1 
145,48,63,22,78,1 
146,14,106,22,66,1 
147,12,0,28,129,-1 
148,0,19,19,108,-1 
149,6,0,17,128,-1 
150,14,0,13,105,-1 
151,0,10,26,134,-1 
152,4,108,13,66,1 
153,0,25,24,116,-1 
154,6,0,38,124,-1 
155,125,0,16,89,1 
156,0,21,17,115,-1 
157,126,5,18,73,1 
158,0,24,17,129,-1 
159,140,5,20,63,1 
160,125,8,14,71,1 
161,3,22,26,131,-1 
162,12,7,14,109,-1 
163,153,0,22,66,1 
164,4,0,20,134,-1 
165,0,12,16,117,-1 
166,14,0,21,108,-1 
