trial, S1, S2, R, T, xi
1,79,0,12,86,1 
2,80,11,13,83,-1 
3,8,62,16,76,-1 
4,21,92,9,70,-1 
5,31,9,17,120,1 
6,7,49,13,103,1 
7,0,71,12,93,1 
8,0,66,12,108,1 
9,70,0,18,120,1 
10,51,14,15,79,-1 
11,31,48,18,93,-1 
12,89,0,15,99,1 
13,25,54,20,105,-1 
14,29,35,13,94,-1 
15,32,63,15,63,1 
16,95,0,15,77,1 
17,84,7,12,90,-1 
18,0,67,17,83,-1 
19,24,51,16,79,-1 
20,0,65,15,97,-1 
21,61,7,20,97,1 
22,25,40,14,109,-1 
23,51,8,31,102,1 
24,0,79,13,86,-1 
25,59,2,23,89,-1 
26,0,61,21,113,-1 
27,85,0,18,90,1 
28,0,79,25,101,1 
29,10,61,23,96,-1 
30,55,21,17,78,-1 
31,0,58,24,104,1 
32,22,66,21,83,-1 
33,44,34,18,91,1 
34,64,0,31,99,-1 
35,65,14,8,89,-1 
36,41,33,15,73,-1 
37,25,30,21,98,1 
38,61,19,18,89,-1 
39,78,13,21,79,1 
40,48,13,19,88,1 
41,67,0,17,112,1 
42,24,38,21,104,-1 
43,71,16,25,94,1 
44,57,26,10,80,-1 
45,89,0,20,77,1 
46,64,8,17,86,-1 
47,0,101,10,80,1 
48,47,0,25,104,1 
49,0,66,18,83,1 
50,24,65,13,90,1 
51,20,62,16,82,-1 
52,76,2,13,114,-1 
53,32,22,27,80,1 
54,71,0,21,77,1 
55,61,0,21,93,1 
56,47,26,13,75,-1 
57,0,83,17,89,1 
58,53,21,16,97,-1 
59,32,40,15,89,-1 
60,0,86,12,92,1 
61,66,0,23,93,-1 
62,15,53,12,87,-1 
63,91,0,13,85,1 
64,52,24,24,115,1 
65,70,3,19,85,1 
66,82,0,13,84,-1 
67,74,0,19,79,1 
68,26,46,20,83,-1 
69,78,0,24,112,-1 
70,38,27,16,90,1 
71,6,57,17,80,1 
72,54,17,25,93,-1 
73,49,19,14,86,1 
74,18,40,21,84,1 
75,42,36,23,81,1 
76,48,36,13,84,1 
77,15,63,19,85,-1 
78,22,41,20,102,-1 
79,59,0,22,81,1 
80,31,34,26,96,1 
81,14,59,13,88,-1 
82,83,0,15,91,-1 
83,55,12,21,95,-1 
84,0,60,15,103,1 
85,0,74,14,102,1 
86,0,58,17,103,1 
87,31,35,17,91,1 
88,60,11,18,88,-1 
89,0,57,20,96,1 
90,71,0,13,95,1 
91,19,51,8,103,-1 
92,99,20,15,85,-1 
93,12,87,14,91,-1 
94,2,80,16,86,1 
95,71,0,16,82,1 
96,62,0,12,109,1 
97,0,57,24,102,1 
98,9,70,12,89,-1 
99,1,41,23,106,-1 
100,27,43,10,109,-1 
101,83,0,11,70,-1 
102,60,6,19,100,1 
103,9,64,15,87,-1 
104,56,21,19,79,-1 
105,26,51,16,88,-1 
106,20,40,28,94,-1 
107,52,42,10,68,-1 
108,0,60,17,90,-1 
109,81,8,18,85,-1 
110,17,76,14,77,-1 
111,28,49,19,95,-1 
112,0,75,12,83,-1 
113,0,77,25,93,-1 
114,0,69,23,94,1 
115,82,0,7,79,1 
116,62,0,6,103,1 
117,0,72,20,96,1 
118,0,58,9,69,1 
119,0,99,10,88,1 
120,48,11,16,92,1 
121,8,95,16,86,1 
122,74,0,14,94,-1 
123,0,64,18,95,-1 
124,0,89,19,71,-1 
125,8,55,21,97,1 
126,24,44,17,89,1 
127,48,13,22,100,1 
128,0,86,10,70,1 
129,3,70,21,92,-1 
130,27,40,18,108,1 
