nu=10^-5, nu=10^-4, nu=10^-3, nu=10^-2, nu=10^-1m nu=1, nu=10, nu=10^2, nu=10^3
0.00851,0.00881,0.00812,0.00713,0.00410,0.01558,0.02119,0.02261,0.02330
0.00401,0.00405,0.00423,0.00323,0.00143,0.00233,0.00215,0.00270,0.00221
0.00303,0.00328,0.00317,0.00220,0.00055,0.00030,0.00019,0.00017,0.00010
0.00290,0.00277,0.00249,0.00174,0.00019,0.00001,0.00003,0.00002,0.00000
0.00246,0.00253,0.00256,0.00103,0.00008,0.00000,0.00000,0.00000,0.00000
