trial, S1, S2, R, T, xi
1,46,79,16,38,1 
2,40,46,21,61,1 
3,0,0,42,127,-1 
4,10,87,35,54,1 
5,14,0,31,114,-1 
6,0,6,32,121,-1 
7,100,0,18,53,1 
8,19,87,26,56,1 
9,0,0,62,112,-1 
10,0,92,25,57,1 
11,15,72,32,54,1 
12,0,3,38,107,-1 
13,0,0,49,104,-1 
14,0,14,20,104,-1 
15,16,0,28,103,-1 
16,16,92,18,42,1 
17,7,131,16,46,1 
18,0,0,38,103,-1 
19,20,61,26,59,1 
20,0,0,45,108,-1 
21,0,0,46,120,-1 
22,21,0,17,94,-1 
23,0,0,65,130,-1 
24,43,72,20,47,1 
25,0,0,47,131,-1 
26,90,24,20,59,1 
27,0,122,20,34,1 
28,0,0,52,118,-1 
29,0,0,40,117,-1 
30,0,0,43,139,-1 
31,0,0,45,145,-1 
32,97,4,17,58,1 
33,0,0,52,126,-1 
34,0,0,53,114,-1 
35,109,0,17,45,1 
36,87,23,24,58,1 
37,23,88,27,41,1 
38,0,0,33,122,-1 
39,88,16,23,51,1 
40,0,0,38,96,-1 
41,0,0,46,122,-1 
42,0,1,45,115,-1 
43,0,0,47,117,-1 
44,0,0,55,117,-1 
45,3,0,28,124,-1 
46,71,12,24,56,1 
47,45,56,14,44,1 
48,118,0,15,55,1 
49,0,0,46,138,-1 
50,0,0,42,104,-1 
51,0,6,21,117,-1 
52,0,0,58,135,-1 
53,27,85,20,46,1 
54,0,129,18,50,1 
55,0,0,45,141,-1 
56,42,86,25,61,1 
57,0,0,54,136,-1 
58,0,0,61,117,-1 
59,65,26,21,45,1 
60,11,81,31,69,1 
61,92,0,21,69,1 
62,0,0,51,116,-1 
63,1,0,50,105,-1 
64,64,66,7,54,1 
65,7,0,41,112,-1 
66,0,0,42,137,-1 
67,0,97,26,52,1 
68,26,53,24,69,1 
69,0,83,26,58,1 
70,4,0,14,107,-1 
71,0,0,46,120,-1 
72,106,36,17,50,1 
73,0,0,44,118,-1 
74,0,0,43,121,-1 
75,38,85,13,39,1 
76,63,79,13,49,1 
77,55,33,26,48,1 
78,0,0,56,127,-1 
79,26,0,24,113,-1 
80,18,81,13,47,1 
81,0,0,48,123,-1 
82,86,31,16,55,1 
83,12,0,20,103,-1 
84,71,28,20,49,1 
85,0,22,20,86,-1 
86,0,12,24,101,-1 
87,101,33,19,50,1 
88,0,0,55,114,-1 
89,73,72,22,33,1 
90,0,17,22,96,-1 
91,161,0,9,26,1 
92,13,0,18,86,-1 
93,0,0,49,112,-1 
94,0,0,56,122,-1 
95,0,0,46,113,-1 
96,21,88,19,56,1 
97,87,19,17,57,1 
98,0,0,60,145,-1 
99,0,0,44,143,-1 
100,0,0,43,120,-1 
101,0,125,24,31,1 
102,0,0,52,111,-1 
103,0,0,45,131,-1 
104,0,0,60,161,-1 
105,19,0,32,105,-1 
106,85,38,28,47,1 
107,44,58,34,43,1 
108,0,0,44,129,-1 
109,12,106,22,54,1 
110,101,8,23,52,1 
111,0,90,20,53,1 
112,0,0,41,129,-1 
113,15,96,23,40,1 
114,0,0,48,103,-1 
115,113,0,22,54,1 
116,0,10,30,110,-1 
117,103,0,24,55,1 
118,65,40,22,56,1 
119,0,106,18,63,1 
120,0,0,45,118,-1 
