trial, S1, S2, R, T, xi
237,48,21,19,68,-1 
238,17,62,21,60,1 
239,33,0,29,77,1 
240,31,43,16,65,1 
241,38,0,29,85,1 
242,0,48,21,77,1 
243,37,13,16,87,1 
244,0,28,28,73,-1 
245,65,0,22,81,1 
246,24,34,19,63,1 
247,0,70,13,79,-1 
248,0,50,22,90,1 
249,0,59,24,82,1 
250,49,0,21,104,1 
251,36,0,26,104,1 
252,0,83,16,69,1 
253,0,48,29,79,1 
254,54,0,22,67,1 
255,0,46,20,81,1 
256,55,0,33,71,-1 
257,0,71,30,81,1 
258,0,67,25,87,1 
259,0,34,23,102,1 
260,0,54,21,102,1 
261,0,70,17,71,1 
262,26,25,17,72,1 
263,50,0,32,71,-1 
264,50,0,22,86,-1 
265,0,54,17,73,-1 
266,49,0,20,73,1 
267,0,60,23,68,-1 
268,66,0,15,62,-1 
269,44,0,26,70,-1 
270,11,44,23,75,1 
271,7,43,26,86,1 
272,0,45,23,76,1 
273,29,0,41,104,-1 
274,49,0,15,93,1 
275,73,0,12,81,-1 
276,14,24,20,91,-1 
277,0,61,20,74,-1 
278,49,0,18,88,-1 
279,0,63,35,93,-1 
280,0,44,31,90,1 
281,43,0,27,83,1 
282,51,24,13,63,1 
283,0,60,21,79,-1 
284,31,8,19,80,-1 
285,9,23,34,94,-1 
286,32,30,20,73,-1 
287,0,60,14,64,-1 
288,0,66,11,87,-1 
289,0,63,14,70,1 
290,0,53,18,68,1 
291,0,54,13,66,1 
292,77,0,11,75,1 
293,59,1,25,77,1 
294,0,77,23,72,1 
295,77,0,10,72,-1 
296,0,72,29,75,1 
297,76,0,22,57,1 
298,58,0,19,85,1 
299,0,69,19,53,-1 
300,64,0,18,65,1 
301,0,63,25,69,1 
302,0,70,20,84,-1 
303,41,22,17,73,1 
304,30,23,35,65,1 
305,2,65,19,86,-1 
306,68,0,11,86,1 
307,0,56,28,78,-1 
308,6,28,30,80,1 
309,61,9,24,60,1 
310,74,0,22,54,1 
311,17,46,41,73,1 
312,14,17,23,85,1 
313,0,65,20,87,-1 
314,28,32,31,93,-1 
315,0,52,41,75,1 
316,43,15,30,70,-1 
317,0,63,26,86,1 
318,53,0,35,86,-1 
319,0,74,14,72,1 
320,34,13,20,71,-1 
321,38,1,36,73,1 
322,41,12,21,76,1 
323,60,0,18,80,-1 
324,67,0,15,66,-1 
325,47,0,23,88,-1 
326,14,64,15,80,-1 
327,12,43,32,96,-1 
328,0,63,18,83,1 
329,0,44,34,83,1 
330,36,33,25,72,-1 
331,10,55,22,80,-1 
332,10,50,17,83,1 
333,0,40,25,80,1 
334,0,35,30,79,1 
335,36,0,29,101,1 
336,42,9,26,78,1 
337,0,71,22,70,-1 
338,45,0,18,88,1 
339,44,0,34,77,1 
340,4,43,24,60,-1 
341,0,36,32,102,-1 
342,33,0,23,95,1 
343,20,0,30,105,-1 
344,0,52,28,59,1 
345,48,0,29,91,-1 
346,58,0,27,89,-1 
347,35,0,26,64,1 
348,6,60,16,67,1 
349,66,0,23,83,-1 
350,15,61,24,70,1 
351,0,51,28,92,1 
352,0,61,25,89,-1 
353,30,29,14,73,-1 
354,9,58,19,102,1 
355,41,43,9,59,1 
356,38,27,24,77,1 
357,6,38,25,94,1 
358,0,64,31,95,1 
359,43,0,19,84,1 
360,50,0,32,96,1 
361,63,0,19,83,-1 
362,0,65,23,80,1 
363,0,59,15,60,1 
364,0,52,28,85,-1 
365,0,68,19,73,-1 
366,47,0,29,88,-1 
367,36,0,42,102,-1 
368,0,29,47,102,1 
369,72,0,16,62,-1 
370,45,0,23,74,-1 
371,44,8,27,69,-1 
372,21,28,18,94,-1 
373,7,58,16,67,1 
374,15,45,21,52,-1 
375,0,49,18,75,1 
376,16,60,19,66,-1 
377,19,30,22,75,1 
378,2,49,23,90,-1 
379,65,0,26,64,-1 
380,49,10,22,75,1 
381,75,0,20,63,1 
382,22,27,21,95,-1 
383,0,52,18,87,-1 
384,53,0,31,86,1 
385,54,0,17,77,1 
386,85,0,8,59,-1 
387,55,0,27,69,-1 
388,0,63,27,77,-1 
389,0,42,35,74,1 
390,54,1,18,74,1 
391,0,63,16,85,-1 
392,13,24,21,92,-1 
393,54,0,25,85,1 
394,0,47,28,78,1 
395,72,0,10,59,-1 
396,20,25,12,89,1 
397,55,0,39,92,1 
398,69,0,33,84,1 
399,0,69,29,70,-1 
400,4,46,29,94,1 
401,0,58,32,98,1 
402,43,5,40,71,1 
403,0,52,23,68,1 
404,0,38,23,81,-1 
405,0,48,27,84,1 
406,57,0,25,63,-1 
407,28,34,20,72,-1 
408,7,69,23,62,-1 
409,20,45,25,71,1 
410,34,12,21,65,1 
411,19,25,27,100,-1 
412,8,27,33,90,-1 
413,0,51,21,77,1 
414,59,11,13,86,1 
415,34,17,28,72,1 
416,3,40,33,87,-1 
417,19,44,17,68,-1 
418,26,44,10,62,1 
419,19,30,32,60,1 
420,53,0,32,88,-1 
421,49,29,15,80,-1 
422,0,49,26,80,-1 
423,55,11,24,77,1 
424,0,77,21,69,1 
425,0,83,22,87,-1 
426,37,0,36,85,-1 
427,66,0,26,72,-1 
428,0,69,17,83,-1 
429,47,35,20,60,1 
430,0,32,26,98,1 
431,90,0,21,68,-1 
432,46,0,31,78,-1 
433,0,61,18,80,1 
434,52,0,24,84,-1 
435,0,39,28,92,-1 
436,13,37,17,73,-1 
437,0,55,31,95,-1 
438,11,46,21,81,-1 
439,0,73,25,72,1 
440,0,40,43,70,1 
441,41,0,40,75,-1 
442,58,0,22,90,1 
443,0,60,20,94,1 
444,53,0,23,55,-1 
445,29,43,19,82,1 
446,0,28,20,89,-1 
447,2,52,29,73,-1 
448,39,25,16,57,1 
