trial, S1, S2, R, T, xi
236,67,0,32,35,1 
237,4,63,47,34,1 
238,0,0,44,125,-1 
239,0,0,48,125,-1 
240,0,0,45,116,-1 
241,0,0,64,135,-1 
242,56,57,24,18,1 
243,33,46,28,21,1 
244,98,0,34,25,1 
245,0,0,51,122,-1 
246,0,0,46,126,-1 
247,0,55,34,40,1 
248,0,0,59,109,-1 
249,0,0,42,115,-1 
250,53,0,37,39,1 
251,0,78,40,27,1 
252,0,0,66,125,-1 
253,46,0,35,36,1 
254,0,0,56,130,-1 
255,0,0,48,144,-1 
256,0,114,21,12,1 
257,80,0,43,32,1 
258,0,0,54,122,-1 
259,0,110,20,19,1 
260,43,68,33,19,1 
261,0,73,25,17,1 
262,0,0,44,114,-1 
263,0,101,35,28,1 
264,0,0,200,107,1 
265,0,87,30,29,1 
266,0,0,55,123,-1 
267,114,0,25,10,1 
268,0,0,54,141,-1 
269,16,27,39,40,1 
270,0,0,48,112,-1 
271,0,0,48,121,-1 
272,0,60,44,44,1 
273,0,112,36,21,1 
274,0,0,45,120,-1 
275,4,88,21,18,1 
276,0,70,37,36,1 
277,66,0,38,31,1 
278,0,0,190,131,1 
279,38,33,32,26,1 
280,0,0,58,118,-1 
281,0,0,131,119,1 
282,0,0,47,111,-1 
283,67,0,25,32,1 
284,0,0,46,104,-1 
285,0,0,55,117,-1 
286,0,68,35,22,1 
287,0,0,52,139,-1 
288,0,0,51,130,-1 
289,74,0,32,28,1 
290,0,0,195,115,1 
291,0,0,46,117,-1 
292,29,35,44,36,1 
293,0,0,66,131,-1 
294,0,0,46,128,-1 
295,0,78,23,39,1 
296,75,0,30,29,1 
297,0,0,190,138,1 
298,0,0,41,94,-1 
299,0,0,58,128,-1 
300,98,0,22,25,1 
301,0,0,55,122,-1 
302,0,34,47,60,1 
303,0,80,23,29,1 
304,0,0,62,123,-1 
305,0,0,38,124,-1 
306,0,0,46,131,-1 
307,0,0,58,122,-1 
308,0,0,39,111,-1 
309,0,0,51,125,-1 
310,0,0,49,145,-1 
311,0,0,35,121,-1 
312,0,0,63,130,-1 
313,0,0,52,130,-1 
314,76,0,30,26,1 
315,0,0,60,111,-1 
316,0,0,52,132,-1 
317,0,92,24,25,1 
318,0,0,44,107,-1 
319,86,0,26,30,1 
320,46,22,37,22,1 
321,0,0,42,124,-1 
322,20,67,28,36,1 
323,66,15,35,23,1 
324,0,0,56,100,-1 
325,0,0,52,123,-1 
326,0,0,52,130,-1 
327,59,0,27,31,1 
328,0,0,38,132,-1 
329,0,0,57,144,-1 
330,0,0,45,108,-1 
331,0,0,50,125,-1 
332,0,95,29,21,1 
333,0,0,42,153,-1 
334,58,0,34,44,1 
335,0,0,195,128,1 
336,0,0,44,112,-1 
337,0,0,38,105,-1 
338,0,0,196,128,1 
339,88,0,38,32,1 
340,0,0,46,122,-1 
341,87,0,28,29,1 
342,0,0,47,127,-1 
343,0,0,55,117,-1 
344,0,0,37,113,-1 
345,0,86,23,23,1 
346,0,0,171,124,1 
347,24,0,8,46,-1 
348,0,0,45,119,-1 
349,0,0,52,125,-1 
350,0,0,64,119,-1 
351,0,0,54,129,-1 
352,0,0,39,104,-1 
353,0,0,48,137,-1 
354,0,0,51,130,-1 
355,0,0,227,122,1 
356,0,0,48,111,-1 
357,18,84,26,17,1 
358,0,0,42,121,-1 
359,0,0,54,128,-1 
360,32,19,35,25,1 
361,0,0,129,143,1 
362,56,0,23,26,1 
363,15,67,26,24,1 
364,0,74,26,41,1 
365,0,0,198,127,1 
366,51,0,44,46,1 
367,0,0,59,113,-1 
368,0,0,46,115,-1 
369,0,0,64,124,-1 
370,75,0,24,21,1 
371,57,0,43,28,1 
372,0,0,215,118,1 
373,72,0,27,26,1 
374,0,0,46,99,-1 
375,0,0,219,143,1 
376,77,0,35,23,1 
377,52,0,46,59,1 
378,67,0,30,24,1 
379,50,0,35,36,1 
380,0,65,48,35,1 
381,0,0,51,134,-1 
382,0,0,55,113,-1 
383,0,54,42,37,1 
384,77,0,37,25,1 
385,0,100,27,21,1 
386,0,88,31,34,1 
387,45,22,38,40,1 
388,0,69,31,24,1 
389,0,72,32,23,1 
390,48,56,16,19,1 
391,0,0,61,133,-1 
392,0,0,38,128,-1 
393,12,53,34,23,1 
394,0,0,47,122,-1 
395,0,0,195,126,1 
396,0,0,57,138,-1 
397,0,0,51,140,-1 
398,16,43,41,31,1 
399,0,0,48,146,-1 
400,0,0,44,136,-1 
401,0,0,55,111,-1 
402,65,0,36,27,1 
403,50,6,39,31,1 
404,0,0,191,136,1 
405,0,0,59,118,-1 
406,0,0,47,131,-1 
407,36,41,25,22,1 
408,0,0,61,143,-1 
409,0,57,31,37,1 
410,0,0,49,102,-1 
411,0,0,45,128,-1 
412,0,0,47,130,-1 
413,69,19,22,24,1 
414,89,0,21,23,1 
415,0,0,50,131,-1 
416,0,80,24,26,1 
417,23,25,51,44,1 
418,82,0,25,21,1 
419,0,0,183,134,1 
420,84,0,27,28,1 
421,0,0,223,131,1 
422,0,0,47,134,-1 
423,84,0,37,34,1 
424,52,0,35,47,1 
425,0,0,207,123,1 
426,0,0,194,126,1 
427,0,0,40,127,-1 
428,57,0,36,32,1 
429,0,0,43,117,-1 
430,0,0,57,141,-1 
431,0,0,57,135,-1 
432,0,0,53,113,-1 
433,11,71,30,29,1 
434,0,0,46,123,-1 
435,0,0,56,119,-1 
436,0,0,48,101,-1 
437,0,0,53,122,-1 
438,0,0,189,119,1 
439,0,0,235,114,1 
440,0,0,53,132,-1 
441,0,41,65,52,1 
442,0,84,34,24,1 
443,0,0,48,121,-1 
444,0,0,57,115,-1 
445,0,0,44,124,-1 
446,60,0,33,48,1 
447,0,0,43,114,-1 
448,0,0,48,135,-1 
449,25,37,44,40,1 
450,0,0,45,131,-1 
451,0,0,55,133,-1 
452,67,0,19,32,1 
453,0,0,79,109,-1 
454,43,0,71,50,1 
455,35,34,30,31,1 
456,0,0,36,120,-1 
457,0,0,40,133,-1 
458,0,0,173,126,1 
459,0,0,197,137,1 
460,0,0,200,106,1 
461,0,0,54,135,-1 
462,0,0,55,138,-1 
463,0,93,23,17,1 
464,0,55,43,35,1 
465,81,0,28,32,1 
466,0,0,53,143,-1 
467,72,0,29,24,1 
468,0,0,55,117,-1 
469,31,27,45,32,1 
470,0,0,61,125,-1 
471,0,52,26,40,1 
472,0,46,53,40,1 
473,0,0,63,128,-1 
474,0,102,23,23,1 
475,0,0,196,119,1 
476,0,0,57,121,-1 
477,13,56,21,26,1 
478,57,38,21,28,1 
479,83,0,38,31,1 
480,0,0,52,134,-1 
481,12,97,17,19,1 
482,46,0,38,41,1 
483,55,37,17,19,1 
484,80,0,25,26,1 
485,14,52,33,34,1 
486,72,0,29,29,1 
487,0,0,47,94,-1 
488,0,0,56,147,-1 
489,0,0,56,132,-1 
490,0,0,49,106,-1 
491,4,52,38,43,1 
492,0,0,56,133,-1 
493,0,0,49,126,-1 
494,68,0,33,19,1 
495,55,8,53,25,1 
496,0,0,57,137,-1 
497,0,0,39,130,-1 
498,65,6,32,36,1 
499,138,0,20,15,1 
500,0,0,45,118,-1 
501,0,0,54,129,-1 
502,17,49,38,37,1 
503,55,18,26,24,1 
504,0,0,63,134,-1 
505,0,63,37,29,1 
506,22,31,38,37,1 
507,0,78,29,22,1 
508,0,0,190,127,1 
509,0,0,62,120,-1 
510,45,0,52,44,1 
511,0,0,55,117,-1 
512,63,0,21,21,1 
513,0,0,39,113,-1 
514,0,0,51,115,-1 
515,88,0,26,24,1 
516,69,13,35,23,1 
517,0,0,44,139,-1 
518,0,0,58,111,-1 
519,0,0,168,110,1 
520,82,0,30,28,1 
521,0,44,58,51,1 
522,44,0,44,42,1 
523,0,0,46,118,-1 
524,89,0,18,19,1 
525,81,0,30,22,1 
526,49,48,23,14,1 
527,0,0,48,116,-1 
528,0,50,41,42,1 
529,0,0,49,128,-1 
530,11,51,44,29,1 
531,71,15,30,21,1 
532,0,0,50,127,-1 
533,0,0,44,125,-1 
534,0,0,62,142,-1 
535,38,16,43,47,1 
536,0,0,59,130,-1 
537,2,104,23,19,1 
538,0,0,56,126,-1 
539,0,0,61,122,-1 
540,0,0,68,119,-1 
541,74,0,42,25,1 
542,25,0,56,50,1 
543,0,60,32,30,1 
544,0,80,37,26,1 
545,60,0,34,29,1 
546,47,23,37,28,1 
547,0,0,48,118,-1 
548,0,0,53,112,-1 
549,0,0,51,109,-1 
550,0,0,47,133,-1 
551,0,0,55,133,-1 
552,0,0,52,109,-1 
553,0,0,46,131,-1 
554,0,0,190,132,1 
555,0,0,65,114,-1 
556,0,0,47,132,-1 
557,0,0,183,125,1 
558,2,63,43,37,1 
559,0,0,63,124,-1 
560,0,3,27,86,-1 
561,0,0,58,113,-1 
562,33,0,52,46,1 
563,0,0,61,131,-1 
564,0,0,59,112,-1 
565,0,0,52,106,-1 
566,0,0,57,136,-1 
567,0,0,50,124,-1 
568,0,0,53,126,-1 
569,0,0,47,104,-1 
570,52,0,42,35,1 
571,0,86,24,20,1 
572,8,67,25,27,1 
573,84,1,24,21,1 
574,0,85,31,27,1 
575,1,0,25,104,-1 
576,61,17,46,24,1 
577,0,0,52,141,-1 
578,0,0,48,123,-1 
579,0,0,38,108,-1 
580,0,84,30,23,1 
581,80,0,21,21,1 
582,0,0,51,131,-1 
583,54,0,38,21,1 
584,0,0,53,123,-1 
585,60,0,58,52,1 
586,5,33,56,45,1 
587,0,55,38,27,1 
588,0,0,49,123,-1 
589,0,0,68,124,-1 
590,0,0,41,117,-1 
591,0,0,40,119,-1 
592,0,0,47,135,-1 
593,0,0,57,137,-1 
594,71,0,17,31,1 
595,0,0,44,110,-1 
596,0,0,184,126,1 
597,0,0,55,137,-1 
598,0,0,49,115,-1 
599,0,0,42,114,-1 
600,0,0,54,115,-1 
601,0,0,54,131,-1 
602,10,61,37,33,1 
603,55,0,66,55,1 
604,87,0,35,27,1 
605,59,30,26,24,1 
606,45,25,46,24,1 
607,72,51,11,21,1 
608,0,0,216,121,1 
609,0,0,54,116,-1 
610,0,93,23,18,1 
611,17,71,22,17,1 
612,0,0,64,128,-1 
613,60,0,30,35,1 
614,0,0,208,121,1 
615,0,0,52,116,-1 
616,0,0,201,123,1 
617,0,0,201,145,1 
618,0,0,43,116,-1 
619,0,0,194,129,1 
620,129,0,21,13,1 
621,0,0,41,141,-1 
622,0,0,57,113,-1 
623,0,0,58,123,-1 
624,76,0,50,35,1 
625,11,54,36,28,1 
626,52,31,28,34,1 
627,70,3,31,28,1 
628,0,0,54,134,-1 
629,0,0,90,129,1 
630,0,0,57,125,-1 
631,0,0,199,119,1 
632,0,0,61,109,-1 
633,0,0,183,130,1 
634,0,0,53,127,-1 
635,0,0,48,104,-1 
636,0,0,62,119,-1 
637,0,0,54,130,-1 
638,55,0,39,41,1 
639,48,0,61,56,1 
640,0,0,50,122,-1 
641,64,0,48,31,1 
642,0,49,33,31,1 
643,109,9,23,19,1 
644,72,0,31,36,1 
645,0,0,46,115,-1 
646,0,0,207,113,1 
647,31,56,20,21,1 
648,0,0,214,130,1 
649,0,0,158,107,1 
650,77,0,40,37,1 
651,0,0,56,115,-1 
652,22,25,34,44,1 
653,0,0,41,121,-1 
654,0,0,196,125,1 
655,0,0,57,137,-1 
656,0,85,21,24,1 
657,7,95,9,15,1 
658,0,0,45,116,-1 
659,0,0,56,132,-1 
660,0,70,34,32,1 
661,67,0,36,24,1 
662,35,22,33,35,1 
663,82,0,15,20,1 
664,0,70,38,33,1 
665,63,16,19,21,1 
666,0,0,43,135,-1 
667,0,0,48,118,-1 
668,27,64,30,24,1 
669,57,0,30,37,1 
670,0,0,47,113,-1 
671,0,0,68,108,-1 
672,0,0,47,104,-1 
673,13,37,43,36,1 
674,32,42,36,31,1 
675,0,0,56,125,-1 
676,0,0,49,152,-1 
677,29,67,27,22,1 
678,65,0,31,28,1 
679,0,0,46,122,-1 
680,0,0,47,108,-1 
681,0,56,23,36,1 
682,8,40,40,49,1 
683,0,0,186,120,1 
684,0,0,53,126,-1 
685,0,0,193,121,1 
686,18,29,33,44,1 
687,0,0,51,118,-1 
688,0,0,56,120,-1 
689,0,0,45,136,-1 
690,0,0,60,127,-1 
691,0,0,44,140,-1 
692,0,0,58,122,-1 
693,47,0,52,37,1 
694,0,0,58,141,-1 
695,0,73,38,24,1 
696,0,0,47,112,-1 
697,0,0,47,124,-1 
698,74,0,29,18,1 
699,0,0,54,134,-1 
700,0,0,46,146,-1 
701,0,0,62,119,-1 
702,0,77,36,26,1 
703,73,0,30,26,1 
704,2,0,34,87,-1 
705,80,0,38,33,1 
706,0,64,37,27,1 
707,0,0,52,124,-1 
708,0,0,46,122,-1 
709,0,0,52,119,-1 
710,0,0,47,109,-1 
711,0,0,36,124,-1 
712,83,0,25,21,1 
713,68,0,33,40,1 
714,0,0,71,112,1 
715,0,92,28,17,1 
716,0,71,28,31,1 
717,0,0,66,106,-1 
718,0,0,45,123,-1 
719,0,0,47,137,-1 
720,13,55,45,27,1 
721,15,49,41,23,1 
722,0,0,56,130,-1 
723,0,0,55,129,-1 
724,0,0,49,122,-1 
725,0,0,48,128,-1 
726,0,0,49,136,-1 
727,0,0,50,129,-1 
728,0,0,46,120,-1 
729,0,0,61,115,-1 
730,36,0,39,43,1 
731,0,0,49,85,-1 
732,0,0,58,135,-1 
733,0,0,213,112,1 
734,0,0,67,113,-1 
735,0,0,53,116,-1 
736,0,0,49,123,-1 
737,0,59,35,50,1 
738,0,0,212,136,1 
739,0,0,189,122,1 
740,0,0,59,120,-1 
741,0,0,53,132,-1 
742,0,0,53,133,-1 
743,0,59,47,30,1 
744,0,0,171,128,1 
745,52,0,46,48,1 
746,0,0,58,123,-1 
747,0,57,31,42,1 
748,0,66,38,43,1 
749,0,0,49,131,-1 
750,0,0,46,120,-1 
751,0,0,53,122,-1 
752,0,70,24,27,1 
753,0,95,19,23,1 
754,0,0,46,114,-1 
755,0,0,49,123,-1 
756,0,0,188,136,1 
757,0,108,19,20,1 
758,0,0,53,141,-1 
759,0,0,60,130,-1 
760,85,0,27,21,1 
761,0,0,49,123,-1 
