nu=10^-5, nu=10^-4, nu=10^-3, nu=10^-2, nu=10^-1m nu=1, nu=10, nu=10^2, nu=10^3
0.50579,0.51426,0.58111,0.89529,0.99834,0.99990,0.99999,0.99999,1.00000
0.50960,0.51630,0.58635,0.89661,0.99865,0.99993,0.99996,0.99999,0.99999
0.51417,0.51935,0.58939,0.89451,0.99827,0.99982,0.99997,0.99995,0.99998
0.51511,0.52390,0.59371,0.89533,0.99869,0.99980,1.00000,0.99998,1.00000
0.51958,0.52950,0.59763,0.89648,0.99839,0.99982,0.99999,0.99999,1.00000
