nu=10^-5, nu=10^-4, nu=10^-3, nu=10^-2, nu=10^-1m nu=1, nu=10, nu=10^2, nu=10^3
0.02758,0.02694,0.03755,0.08184,0.07077,0.00698,0.00528,0.00498,0.00532
0.00940,0.01024,0.01401,0.03308,0.02339,0.00058,0.00033,0.00042,0.00033
0.00310,0.00307,0.00529,0.01483,0.00932,0.00015,0.00004,0.00006,0.00005
